Date,FTSE CANADA AERO/DEFENSE $ - PRICE INDEX,FTSE CANADA AUTO & PARTS $ - PRICE INDEX,FTSE CANADA BANKS $ - PRICE INDEX,FTSE CANADA BASIC MATS $ - PRICE INDEX,FTSE CANADA CHEMICALS $ - PRICE INDEX,FTSE CANADA CONSUMER GDS $ - PRICE INDEX,FTSE CANADA CONSUMER SVS $ - PRICE INDEX,FTSE CANADA ELECTRICITY $ - PRICE INDEX,FTSE CANADA FD & DRUG RTL $ - PRICE INDEX,FTSE CANADA FD PRODUCERS $ - PRICE INDEX,FTSE CANADA FIN SVS $ - PRICE INDEX,FTSE CANADA FINANCIALS $ - PRICE INDEX,FTSE CANADA FXD LINE T/CM $ - PRICE INDEX,FTSE CANADA GEN RETAILERS $ - PRICE INDEX,FTSE CANADA INDS ENG $ - PRICE INDEX,FTSE CANADA INDS TRANSPT $ - PRICE INDEX,FTSE CANADA INDUSTRIAL MET $ - PRICE INDEX,FTSE CANADA INDUSTRIALS $ - PRICE INDEX,FTSE CANADA LIFE INSURANCE $ - PRICE INDEX,FTSE CANADA MEDIA $ - PRICE INDEX,FTSE CANADA MINING $ - PRICE INDEX,FTSE CANADA OIL & GAS $ - PRICE INDEX,FTSE CANADA OIL & GAS PROD $ - PRICE INDEX,FTSE CANADA TCH H/W & EQ $ - PRICE INDEX,FTSE CANADA TECHNOLOGY $ - PRICE INDEX,FTSE CANADA TELECOM $ - PRICE INDEX,FTSE CANADA UTILITIES $ - PRICE INDEX,FTSE W CANADA BEVERAGES $ - PRICE INDEX,FTSE W CANADA ELTRO/ELEC EQ $ - PRICE INDEX,FTSE W CANADA FORESTRY & PAP $ - PRICE INDEX,FTSE W CANADA HEALTH CARE $ - PRICE INDEX,FTSE W CANADA NONLIFE INSUR $ - PRICE INDEX,FTSE W CANADA TRAVEL & LEIS $ - PRICE INDEX
20/01/1995,472.45,184.81,134.47,150.97,221.18,185.61,161.83,142.71,83.25,131.55,128.39,78.62,131.93,150.46,82.86,75.81,171.74,201.59,78.72,102.75,202.54,139.34,89.55,80.41,81.18,103.37,161.61,198.42,390.67,109.67,147.2,82.57,50.79
23/01/1995,468.4,180.16,133.61,150.06,224.22,184.64,159.35,142.12,84.1,132.02,127.96,78.23,130.61,149.15,82.37,74.88,171.05,198.53,78.99,100.99,199.79,138.14,89.37,79.93,80.69,103.24,161.51,197.91,383.08,106.14,146.46,82.86,49.71
24/01/1995,469.29,180.5,136.03,150.38,226.92,182.97,160.82,142.93,84.01,130.93,129.97,79.48,132.12,148.82,80.97,75.48,169.39,201.01,78.23,102.21,198.61,138.34,90.37,81.28,82.05,103.86,164.36,199.11,383.8,108.76,147.3,84.36,50.32
25/01/1995,481.62,178.18,138.14,151.76,227.33,188.57,162.08,145.76,84.58,132.51,129.47,80.39,135.24,149.61,80.34,75.97,170.77,201.72,79.29,103.52,197.65,138.78,91.61,82.73,83.52,105.55,166.79,200.35,392.3,110.76,148.2,85.26,49.23
26/01/1995,471.12,178.54,137.12,150.82,220.97,184.89,163.14,144.66,84.07,131.44,128.94,79.97,134.68,148.75,80.12,74.83,170.29,201.18,80.37,105.17,197.83,139.15,92.06,82.77,83.56,105.03,165.73,199.15,393.71,111.31,148.07,85.43,48.66
27/01/1995,464.55,178.23,137.02,146.38,213.75,184.56,161.43,142.34,83.59,132.55,128.29,80.01,134.4,148.17,79.97,73.68,164.48,200.3,80.22,104.25,191.32,136.28,91.61,82.62,83.41,104.65,164.16,194.88,385.22,109.91,145.56,86.09,48.05
30/01/1995,458.04,164.65,135.63,141.72,206.58,182.19,158.84,142.74,82.57,133.66,125.23,79.22,133.92,145.33,81.01,73.3,158.56,199.3,80.09,101.97,188.31,134.29,90.4,81.56,82.34,103.88,164.83,190.8,378,107.6,143.31,85.85,47.08
31/01/1995,459.27,173.08,139.61,143.24,213.97,185.14,160.58,144.82,83.76,132.68,128.23,81.15,137.89,146.53,80.83,73.68,158.86,199.04,83.95,103.8,187.11,133.81,90.38,82.18,82.97,106.28,166.87,191.74,390.99,108.49,143.96,86.31,49.14
1/02/1995,437.57,176.25,139.88,144.72,216.87,184.46,159.25,143.71,84.2,131.72,126.95,80.87,136.29,144.49,79.9,72.73,161.76,200.24,84.2,103.22,189,134.47,90.25,82.13,82.91,105.81,166.42,191.89,393.34,107.29,144.39,85.49,48.32
2/02/1995,450.33,176.74,141.27,146.39,219.76,187.02,161.68,143.04,84.34,129.39,124.93,81.37,137.77,147.83,80.51,76,164.12,204.64,86.27,103.48,194.7,137.41,91.3,83.02,83.81,106.55,167.33,195.13,393.21,107.59,146.5,86.17,49.05
3/02/1995,462.84,171.74,144.09,149.7,220.22,185.75,166.23,145.22,84.77,129.66,127.27,82.82,139.48,151.08,81.07,78.55,168.91,207.47,87.36,106.61,193.98,137.72,92.2,84.69,85.5,107.53,169.4,198.65,400.06,110.55,148.73,86.92,50.05
6/02/1995,464.39,177.7,145.77,147.77,220.96,188.03,168.05,148.92,85.66,131.45,126.85,83.57,140.79,151.75,81.74,79.93,163.94,206.54,87.66,107.56,193.47,138.34,93.44,85.89,86.71,108.59,172.51,201.31,389.3,112.16,150.64,88.2,49.99
7/02/1995,471.11,172.65,144.71,146.74,216.77,186.74,167.77,147.1,85.81,130.35,128.34,83.72,140.59,151.88,81.9,79.49,163.23,208.74,87.83,107.16,191.38,137.46,93.36,86.04,86.86,108.58,171.55,201.96,390.05,112.06,150.92,89.81,49.94
8/02/1995,476.45,172.48,145.26,146.38,218.86,184.5,167.93,146.18,86.18,128.86,128.04,83.73,141.75,157.28,83,77.48,162.15,210.01,88.66,107.03,191.64,137.58,93.39,85.6,86.42,109.3,170.33,201.87,404.23,111.64,150.86,89.28,51.09
