,EURO TO US $ (WMR&DS) - EXCHANGE RATE,JAPANESE YEN TO US $ (WMR) - EXCHANGE RATE,AUSTRALIAN $ TO US $ (WMR&DS) - EXCHANGE RATE,CANADIAN $ TO US $ (WMR) - EXCHANGE RATE,SWISS FRANC TO US $ (WMR) - EXCHANGE RATE,SWEDISH KRONA TO US $ (WMR) - EXCHANGE RATE,NEW ZEALAND $ TO US $ (WMR&DS) - EXCHANGE RATE,UK £ TO US $ (WMR) - EXCHANGE RATE,NORWEGIAN KRONE TO US $ (WMR) - EXCHANGE RATE
31/12/1993,0.88881,111.605,1.47319,1.324,1.485,8.3352,1.78763,0.6759,7.5208
3/01/1994,0.88881,112.395,1.46242,1.3143,1.4827,8.3528,1.77936,0.6759,7.5251
4/01/1994,0.88843,113.155,1.46028,1.3164,1.4861,8.2625,1.77809,0.67486,7.5259
5/01/1994,0.88825,112.76,1.45497,1.3153,1.48,8.215,1.78094,0.67277,7.502
6/01/1994,0.88813,112.555,1.46135,1.322,1.4745,8.1889,1.79824,0.67204,7.4903
7/01/1994,0.88689,111.825,1.45603,1.3225,1.4705,8.168,1.79501,0.67092,7.4865
10/01/1994,0.88708,112.225,1.45391,1.3143,1.4671,8.1333,1.79019,0.66872,7.4758
11/01/1994,0.88955,112.485,1.44907,1.3212,1.4775,8.192,1.78508,0.6706,7.515
12/01/1994,0.88692,112.415,1.44928,1.3173,1.469,8.1758,1.78987,0.66609,7.4935
13/01/1994,0.893,112.165,1.44571,1.3219,1.4783,8.1891,1.79565,0.66849,7.5473
14/01/1994,0.89336,111.215,1.44948,1.3208,1.48,8.1947,1.79211,0.67024,7.5455
17/01/1994,0.89407,111.08,1.43657,1.3198,1.4805,8.1273,1.78827,0.67038,7.5469
18/01/1994,0.89032,110.75,1.43513,1.3158,1.4669,8.0935,1.77462,0.66796,7.5154
19/01/1994,0.88913,110.895,1.43102,1.3114,1.4595,8.1103,1.77336,0.67038,7.5023
20/01/1994,0.88623,111.51,1.41884,1.3099,1.454,8.0906,1.76835,0.66689,7.5122
21/01/1994,0.89079,111.21,1.42288,1.3121,1.4658,8.0656,1.76491,0.66894,7.516
