,MSCI EUROPE ENERGY $ - PRICE INDEX,MSCI EUROPE FINANCIALS $ - PRICE INDEX,MSCI EUROPE INDUSTRIALS $ - PRICE INDEX,MSCI EUROPE MATERIALS $ - PRICE INDEX,MSCI EUROPE UTILITIES $ - PRICE INDEX,MSCI EUROPE CONS DISCR $ - PRICE INDEX,MSCI EUROPE CONS STAPLES $ - PRICE INDEX,MSCI EUROPE HEALTH CARE $ - PRICE INDEX,MSCI EUROPE T/CM SVS $ - PRICE INDEX,MSCI EUROPE IT $ - PRICE INDEX
30/12/1994,54.431,41.041,72.284,79.213,44.949,56.548,44.648,33.317,33.196,28.322
2/01/1995,54.411,40.985,72.249,79.243,44.911,56.552,44.652,33.337,33.146,28.452
3/01/1995,54.332,40.837,72.195,79.281,44.861,56.419,44.324,33.359,33.309,28.359
4/01/1995,54.18,40.804,72.303,79.341,44.519,56.301,44.358,33.534,33.15,28.325
5/01/1995,53.963,40.673,72.174,79.142,44.032,56.022,44.125,33.398,32.95,28.21
6/01/1995,54.235,40.569,71.942,79.036,43.817,55.825,44.248,33.444,33.003,28.26
9/01/1995,53.963,40.343,71.997,79.064,43.537,55.599,44.062,33.711,32.909,28.662
10/01/1995,54.186,40.532,72.331,79.263,43.775,55.635,44.319,33.993,33.184,29.404
11/01/1995,53.673,40.416,72.352,79.326,43.837,55.621,44.24,33.718,33.241,29.563
12/01/1995,53.864,40.438,72.713,79.571,43.87,55.603,44.315,33.909,33.06,29.484
13/01/1995,54.149,40.494,72.778,79.775,43.937,55.544,44.436,34.013,33.381,29.576
16/01/1995,54.733,41.079,73.515,80.948,44.503,56.5,44.736,34.143,33.913,29.833
17/01/1995,54.367,40.722,73.063,80.556,44.268,56.082,44.288,33.822,33.597,29.596
18/01/1995,54.56,40.742,73.241,80.774,44.266,56.129,44.441,33.931,33.821,29.989
19/01/1995,54.462,40.452,72.981,80.531,44.085,55.761,44.155,33.732,33.787,30.007
20/01/1995,54.545,40.563,73.525,81.033,44.382,55.932,44.464,33.9,34.022,30.044
23/01/1995,54.071,39.882,72.426,79.797,43.851,55.035,43.82,33.352,33.635,29.217
24/01/1995,54.645,39.812,72.493,79.988,43.721,55.296,44.028,33.375,33.909,29.384
25/01/1995,54.394,39.763,72.4,79.801,43.788,54.991,43.974,33.097,33.783,29.168
26/01/1995,55.264,40.205,72.834,80.521,43.926,55.436,44.451,33.476,34.143,29.275
27/01/1995,55.675,40.242,72.945,80.626,43.831,55.544,44.571,33.42,34.275,29.238
30/01/1995,55.557,40.115,72.807,80.261,43.728,55.392,44.546,33.353,34.1,28.958
31/01/1995,54.965,39.888,72.325,79.527,43.652,55.055,44.325,33.369,34.028,28.624
1/02/1995,55.23,40.128,72.796,79.77,43.704,55.518,44.537,33.856,34.007,29.006
2/02/1995,55.262,40.178,72.933,79.929,43.835,55.495,44.649,34.178,34.031,29.474
3/02/1995,55.205,40.238,72.818,80.029,43.685,55.495,44.633,34.441,34.43,29.813
6/02/1995,55.117,40.424,72.994,80.161,43.826,55.911,44.68,34.611,34.504,30.25
7/02/1995,55.007,40.56,72.856,79.833,43.934,56.045,44.674,34.339,34.471,30.101
8/02/1995,54.94,40.515,72.932,79.554,43.859,55.818,44.603,34.386,34.08,29.815
9/02/1995,55.417,40.941,73.577,80.435,44.341,56.438,44.901,34.706,34.172,30.139
10/02/1995,55.946,41.219,74.067,80.912,44.652,56.763,45.237,34.93,34.182,30.294
13/02/1995,55.86,41.084,73.926,80.625,44.558,56.546,45.169,34.761,33.907,30.178
14/02/1995,55.743,41.159,74.016,80.715,45.019,56.347,45.176,35.06,34.031,30.397
15/02/1995,55.715,41.398,74.274,80.797,45.205,56.48,45.331,35.22,34.183,30.487
16/02/1995,55.699,41.431,74.537,81.019,45.492,56.413,45.478,35.303,34.032,30.477
17/02/1995,55.746,41.16,74.158,80.564,45.426,56.085,45.274,35.245,34.051,30.179
20/02/1995,55.818,41.255,74.26,80.621,45.526,56.174,45.352,35.326,33.993,30.263
21/02/1995,55.827,41.013,73.839,80.39,45.316,55.931,45.301,35.33,33.773,30.091
22/02/1995,55.979,40.963,74.028,80.929,45.303,56.086,45.492,35.253,33.854,30.087
23/02/1995,56.033,41.428,74.302,81.4,45.521,56.458,45.795,35.567,33.933,30.018
24/02/1995,55.027,41.213,73.722,80.626,45.193,56.098,45.391,35.438,33.562,30.055
27/02/1995,55.093,41.095,73.749,80.71,45.133,56.015,45.552,35.571,33.266,29.939
28/02/1995,54.478,41.026,73.874,80.42,45.165,55.794,45.26,35.447,33.18,29.546
1/03/1995,54.911,41.451,74.279,81.037,45.309,56.565,45.76,35.818,33.65,30.143
2/03/1995,54.973,41.508,74.413,80.926,45.686,56.5,45.92,35.941,33.675,30.008
3/03/1995,55.707,41.983,75.391,81.91,46.326,57.074,46.535,36.371,33.736,30.476
6/03/1995,55.918,42.182,75.588,82.193,46.628,57.315,46.907,36.513,33.947,30.395
7/03/1995,55.533,41.902,74.902,81.544,45.029,56.677,46.586,36.619,33.571,30.063
8/03/1995,55.736,41.88,74.707,81.313,44.617,56.603,46.75,36.735,33.126,29.942
9/03/1995,55.404,41.574,73.978,80.377,44.287,56.031,46.073,36.161,32.827,30.092
10/03/1995,55.081,40.816,72.883,78.902,43.416,55.167,45.691,35.698,32.356,29.949
13/03/1995,54.892,40.895,73.247,79.274,43.642,55.216,45.922,36.001,32.357,30.033
14/03/1995,55.5,41.076,73.652,79.609,43.785,55.634,46.114,36.212,32.87,30.585
15/03/1995,55.732,41.468,74.515,80.619,44.212,56.181,46.723,36.515,33.016,31.133
16/03/1995,56.334,41.954,74.858,80.91,44.634,56.607,47.104,36.852,33.41,31.18
17/03/1995,56.256,41.713,74.301,80.609,44.417,56.365,47.003,36.79,33.185,31.173
20/03/1995,56.424,41.756,73.933,80.53,44.445,56.629,47.41,37.031,33.292,30.975
21/03/1995,56.183,41.766,73.433,79.835,44.326,56.898,47.367,36.764,33.634,30.727
22/03/1995,56.488,41.764,73.425,79.72,44.431,56.954,47.668,36.917,33.701,30.621
