,S&P500 ES CONSUMER DISCRETIONARY - PRICE INDEX,S&P500 ES CONSUMER STAPLES - PRICE INDEX,S&P500 ES FINANCIALS - PRICE INDEX,S&P500 ES HEALTH CARE - PRICE INDEX,S&P500 ES INDUSTRIALS - PRICE INDEX,S&P500 ES INFO TECHNOLOGY - PRICE INDEX,S&P500 ES UTILITIES - PRICE INDEX,S&P500 ES ENERGY - PRICE INDEX,S&P500 ES MATERIALS - PRICE INDEX,S&P500 ES TELECOM SERVICES - PRICE INDEX
30/12/1994,100,100,100,100,99.9,100,100,100,100,100
2/01/1995,100,100,100,100,100,100,100,100,100,100
3/01/1995,99.65,100.2,100.55,99.65,100,99.04,100.54,100.32,99.59,100.05
4/01/1995,100.62,99.92,101.55,99.84,100.05,99.37,101.21,100.71,99.74,100.06
5/01/1995,100.95,98.99,101.49,99.88,100.41,99.17,100.74,100.71,99.78,99.88
6/01/1995,100.92,98.84,101.7,99.4,100.83,100.22,100.97,100.45,100.78,98.96
9/01/1995,100.87,98.84,101.8,98.75,100.95,100.93,100.76,100.31,101.17,99.03
10/01/1995,100.4,98.73,102.08,98.95,101.31,103.11,100.86,99.98,101.51,98.97
11/01/1995,100.7,98.79,101.94,99.12,101.58,102.82,100.62,99.15,102.15,98.75
12/01/1995,100.77,98.97,101.48,98.31,101.88,103.63,100.83,99.17,102.05,98.43
13/01/1995,101.56,99.91,103.91,99.17,102.65,104.26,101.24,99.71,102.73,99.42
16/01/1995,101.88,100.12,105.82,100.06,103.61,105.29,102.19,99.54,102.98,100.79
17/01/1995,101.92,100.39,105.05,100.5,103.76,105.48,102.73,100.36,103.25,100.63
18/01/1995,101.18,99.84,104.22,101.05,103.64,105.97,102.69,101.47,103.77,100.37
19/01/1995,100.36,99.18,102.85,101.03,102.71,105.56,102.22,101.49,103.15,100.08
20/01/1995,99.77,98.91,102.22,100.8,102.08,103.41,102.87,102.06,102.28,99.87
23/01/1995,99.79,99.4,102.81,101.49,101.72,103.26,103.23,103.1,101.23,100.41
24/01/1995,99.67,99.17,102.92,101.37,101.7,103.72,103.33,102.62,101.38,101
25/01/1995,100.09,99.62,103.87,101.61,101.88,101.76,104.1,103.38,101.37,102.57
26/01/1995,99.86,100.61,104.45,102.44,102.14,100.73,104.44,103.65,100.23,103.15
27/01/1995,100.5,101.87,106.07,103.39,101.71,101.19,105.06,103.2,98.07,104.47
30/01/1995,100.06,101.99,105.92,104.53,101.4,99.52,105.47,102.34,96.04,103.85
31/01/1995,100.65,102.05,106.08,106.37,101.82,99.91,106.19,101.81,96.04,104.64
1/02/1995,101.32,101.72,105.82,105.78,101.52,101.12,105.83,101.39,97.09,103.92
2/02/1995,101.92,102.36,106.64,105.49,102.27,102.06,105.89,101.61,98.01,104.07
3/02/1995,102.76,103.36,109.77,106.11,103.67,102.96,107.36,102.45,99.23,105.55
6/02/1995,103.22,104.02,110.37,107.38,103.99,103.75,107.27,102.9,99.38,106.11
7/02/1995,103.5,104.18,110.09,106.8,103.68,103.5,107.28,102.55,100.04,106.07
8/02/1995,103.68,103.78,110.26,106.74,103.54,104.56,106.87,102.81,99.86,106.39
9/02/1995,103.56,103.25,109.57,106.05,103.74,105.65,105.63,102.45,100.03,106.03
10/02/1995,104.3,103.74,109.11,106,104.21,106.03,105.62,102.43,100.21,106.64
13/02/1995,104.28,103.48,109.07,105.64,104.72,106.03,105.32,102.89,100.97,106.22
14/02/1995,104.54,103.69,109.95,105.21,104.91,106.28,105.6,103.35,101.25,105.66
15/02/1995,104.75,103.63,110.5,105.25,106.1,106.47,106.02,104,102.21,105.93
16/02/1995,104.94,104.21,110.28,105.12,106.14,108.37,105.97,104.24,102.09,104.72
17/02/1995,104.04,103.75,109.93,105.38,105.43,105.64,105.61,104.24,101.61,103.34
20/02/1995,104.04,103.75,109.93,105.38,105.43,105.64,105.61,104.24,101.61,103.34
21/02/1995,104.28,103.71,109.57,105.2,105.83,105.55,106.01,105.33,102.04,103.2
22/02/1995,104.49,103.72,110.26,106.08,106.66,106.34,106.67,105.33,102.06,104.52
23/02/1995,104.63,104.46,111.65,106.9,107.19,105.67,106.47,105.06,102.41,105.17
24/02/1995,104.74,105.52,112.19,107.48,107.08,105.43,106.62,104.94,102.38,105.61
27/02/1995,103.53,104.61,111.06,106.68,105.94,104.68,105.92,104.56,101.81,104.25
28/02/1995,104.06,104.97,111.67,107.6,107.18,106.58,106.29,104.99,102.21,105.24
1/03/1995,103.8,104.84,111.3,107.58,106.64,106.77,104.91,104.85,101.25,104.34
2/03/1995,103.71,104.84,111.35,107.61,105.86,107.31,103.92,105.35,100.52,104.31
3/03/1995,103.73,105.08,110.84,107.38,105.8,109.37,103.91,105.2,100.4,103.79
6/03/1995,103.24,105.95,110.18,108.18,105.53,109.81,103.2,106.34,100.02,103.17
7/03/1995,102.89,104.96,108.49,107.39,104.7,108.78,102.3,105.97,99.82,102.73
8/03/1995,102.74,105.17,108.43,107.28,104.95,109.19,102.78,107.28,99.73,102.95
9/03/1995,102.66,105.21,108.21,106.79,105.26,109.5,102.34,107.03,99.86,103.53
10/03/1995,104.31,106.98,109.9,107.46,107.06,110.27,103.35,107.59,101.07,105.67
13/03/1995,104.53,107.1,109.71,108.58,107.25,111.07,103.15,107.34,101.1,104.65
14/03/1995,104.6,107.91,110.35,109.68,108.17,111.77,103.64,106.9,101.5,106.32
15/03/1995,104.23,108.05,110.61,109.77,107.22,111.21,103.2,106.42,102.02,106.15
16/03/1995,104.87,108.69,111.36,110.94,108.49,111.58,103.76,107.32,102.06,107.13
17/03/1995,104.62,109.07,110.7,112.1,108.65,111.06,103.56,107.5,102.39,106.78
20/03/1995,104.57,109.73,110.57,112.85,108.5,112.03,102.71,107.3,102.64,106.53
21/03/1995,104.57,109.93,109.94,112.97,108.51,112.02,102.49,106.71,102.4,105.15
22/03/1995,104.3,109.92,110.25,112.69,108.24,112.15,102.33,107.87,102.8,105.77
23/03/1995,103.95,109.57,110.2,112.85,108.18,113.15,102.24,108,103.71,105.73
24/03/1995,105.3,110.06,111.43,113.27,109.41,114.82,103.54,108.58,104.79,107.56
27/03/1995,105.64,110.15,112.71,113.94,110.04,115.56,103.72,109.17,104.79,107.66
28/03/1995,106.24,109.89,112.79,114.2,109.96,116.1,103.33,108.84,105.49,107.99
29/03/1995,106.85,109.52,112.72,112.84,110.57,114.06,103.47,109.01,106.11,107.47
30/03/1995,107.69,108.66,112.28,110.9,110.99,112.39,103.85,108.92,108.17,106.92
31/03/1995,107.2,108,111.81,110.58,110.73,111.95,103.89,110.34,107.65,105.48
3/04/1995,107.47,108.6,112.08,111.43,110.97,112.76,103.9,109.37,107.44,105.86
4/04/1995,107.3,109.69,113.37,112.5,111.71,111.76,105.89,110.47,108.09,107.29
5/04/1995,107.13,109.69,113.57,112.04,111.31,112.26,106.84,110.77,108.92,107.19
6/04/1995,106.65,109.97,115.22,112.16,111.85,111.92,106.73,109.55,109.32,107.35
7/04/1995,106.9,110.08,115.46,111.88,111.71,112.95,107.01,109.16,108.42,107.82
10/04/1995,106.76,110.12,115.3,112.45,111.62,114.36,106.63,108.95,108.59,108.09
11/04/1995,105.99,109.39,114.38,112.92,111.18,115.11,106.3,108.74,108.43,107.89
12/04/1995,106.89,110,114.36,113.33,111.75,115.76,105.9,108.69,108.57,107.78
13/04/1995,106.91,110.1,115.01,114.83,112.23,116.98,106.7,108.9,108.13,108.08
14/04/1995,106.91,110.1,115.01,114.83,112.23,116.98,106.7,108.9,108.13,108.08
17/04/1995,106.3,108.88,114.62,114.17,111.78,117.38,104.92,108.92,107.25,106.25
18/04/1995,105.51,109.26,114.88,113.78,111.45,117.13,105.17,109.84,106.28,105.55
19/04/1995,105.64,109.48,114.74,111.46,111.88,115.55,106.1,110.14,106.57,106.39
20/04/1995,105.31,109.36,114.39,111.14,111.9,116.13,106.07,112.1,107,105.66
21/04/1995,105.58,110.54,114.55,112.53,113.11,117.45,106.2,112.26,107.82,105.69
24/04/1995,105.91,111.46,115.42,113.81,114.05,120.57,107.02,112.82,108.72,105.98
25/04/1995,105.33,110.82,115.14,112.6,113.73,121.48,106.62,113.33,108.68,106.81
26/04/1995,105.05,110.72,115.49,112.86,114.05,122.84,106.51,113.29,108.13,106.81
