Name,US $ TO UK £ (WMR) - EXCHANGE RATE,US $ TO UK £ (OL) - EXCHANGE RATE,US $ TO AUSTRALIAN $ NOON NY - EXCHANGE RATE
1/01/1973,2.346,2.346,1.2732
2/01/1973,2.3472,2.3472,1.2732
3/01/1973,2.3486,2.3486,1.273
4/01/1973,2.3497,2.3497,1.273
5/01/1973,2.3515,2.3515,1.273
8/01/1973,2.3514,2.3514,1.273
9/01/1973,2.3512,2.3512,1.273
10/01/1973,2.3533,2.3533,1.273
11/01/1973,2.3516,2.3516,1.271
12/01/1973,2.3516,2.3516,1.271
15/01/1973,2.3522,2.3522,1.271
16/01/1973,2.351,2.351,1.271
17/01/1973,2.3526,2.3526,1.271
18/01/1973,2.3534,2.3534,1.271
19/01/1973,2.3527,2.3527,1.271
22/01/1973,2.3534,2.3534,1.271
23/01/1973,2.3564,2.3564,1.271
24/01/1973,2.3582,2.3582,1.271
25/01/1973,2.359,2.359,1.271
26/01/1973,2.3607,2.3607,1.271
29/01/1973,2.3668,2.3668,1.271
30/01/1973,2.379,2.379,1.271
31/01/1973,2.38,2.38,1.271
1/02/1973,2.389,2.389,1.271
2/02/1973,2.377,2.377,1.271
5/02/1973,2.38,2.38,1.271
6/02/1973,2.3842,2.3842,1.271
7/02/1973,2.3852,2.3852,1.271
8/02/1973,2.3842,2.3842,1.271
9/02/1973,2.3816,2.3816,1.271
12/02/1973,2.3816,2.3816,1.271
13/02/1973,2.436,2.436,1.271
14/02/1973,2.464,2.464,1.415
15/02/1973,2.461,2.461,1.417
16/02/1973,2.4375,2.4375,1.417
19/02/1973,2.428,2.428,1.417
20/02/1973,2.437,2.437,1.417
21/02/1973,2.4466,2.4466,1.41
22/02/1973,2.455,2.455,1.41
23/02/1973,2.475,2.475,1.41
26/02/1973,2.467,2.467,1.415
27/02/1973,2.4665,2.4665,1.41
28/02/1973,2.482,2.482,1.41
1/03/1973,2.493,2.493,1.41
2/03/1973,2.503,2.503,1.41
5/03/1973,2.4665,2.4665,1.4191
6/03/1973,2.4625,2.4625,1.42
7/03/1973,2.472,2.472,1.42
8/03/1973,2.48,2.48,1.41
9/03/1973,2.4685,2.4685,1.412
12/03/1973,2.4685,2.4685,1.41
13/03/1973,2.469,2.469,1.41
14/03/1973,2.4656,2.4656,1.41
15/03/1973,2.4665,2.4665,1.41
16/03/1973,2.463,2.463,1.41
19/03/1973,2.46,2.46,1.41
20/03/1973,2.4656,2.4656,1.41
21/03/1973,2.4708,2.4708,1.41
22/03/1973,2.4775,2.4775,1.41
23/03/1973,2.473,2.473,1.415
26/03/1973,2.4768,2.4768,1.415
27/03/1973,2.4798,2.4798,1.415
28/03/1973,2.4813,2.4813,1.415
29/03/1973,2.4825,2.4825,1.415
30/03/1973,2.479,2.479,1.415
2/04/1973,2.4757,2.4757,1.415
3/04/1973,2.4765,2.4765,1.415
4/04/1973,2.4822,2.4822,1.415
5/04/1973,2.483,2.483,1.415
6/04/1973,2.4831,2.4831,1.415
9/04/1973,2.4838,2.4838,1.415
10/04/1973,2.4854,2.4854,1.415
11/04/1973,2.4875,2.4875,1.415
12/04/1973,2.485,2.485,1.415
13/04/1973,2.4812,2.4812,1.415
16/04/1973,2.4812,2.4812,1.415
17/04/1973,2.4845,2.4845,1.415
18/04/1973,2.4821,2.4821,1.415
19/04/1973,2.4835,2.4835,1.415
20/04/1973,2.4835,2.4835,1.415
23/04/1973,2.4835,2.4835,1.415
24/04/1973,2.4835,2.4835,1.415
25/04/1973,2.4865,2.4865,1.415
26/04/1973,2.487,2.487,1.415
27/04/1973,2.4865,2.4865,1.415
30/04/1973,2.4893,2.4893,1.415
1/05/1973,2.4888,2.4888,1.415
2/05/1973,2.4938,2.4938,1.415
3/05/1973,2.491,2.491,1.415
4/05/1973,2.4899,2.4899,1.415
7/05/1973,2.4914,2.4914,1.415
8/05/1973,2.4983,2.4983,1.415
9/05/1973,2.506,2.506,1.415
10/05/1973,2.5054,2.5054,1.415
11/05/1973,2.509,2.509,1.415
14/05/1973,2.5276,2.5276,1.415
