Date,Open,High,Low,Close,Volume,Adj Close
30/01/2009,2.83,2.86,2.76,2.84,0,2.84
29/01/2009,2.67,2.82,2.66,2.82,0,2.82
28/01/2009,2.56,2.66,2.51,2.66,0,2.66
27/01/2009,2.61,2.64,2.52,2.52,0,2.52
26/01/2009,2.66,2.69,2.61,2.64,0,2.64
23/01/2009,2.59,2.68,2.58,2.62,0,2.62
22/01/2009,2.51,2.64,2.49,2.59,0,2.59
21/01/2009,2.43,2.53,2.4,2.53,0,2.53
20/01/2009,2.38,2.5,2.33,2.35,0,2.35
16/01/2009,2.35,2.4,2.26,2.3,0,2.3
15/01/2009,2.18,2.23,2.17,2.2,0,2.2
14/01/2009,2.28,2.28,2.16,2.21,0,2.21
13/01/2009,2.31,2.35,2.3,2.3,0,2.3
12/01/2009,2.42,2.45,2.31,2.31,0,2.31
9/01/2009,2.45,2.5,2.35,2.41,0,2.41
8/01/2009,2.44,2.49,2.41,2.44,0,2.44
7/01/2009,2.47,2.54,2.45,2.49,0,2.49
6/01/2009,2.56,2.61,2.47,2.51,0,2.51
5/01/2009,2.48,2.52,2.41,2.49,0,2.49
2/01/2009,2.2,2.42,2.16,2.42,0,2.42
31/12/2008,2.08,2.25,2.07,2.24,0,2.24
30/12/2008,2.12,2.15,2.06,2.09,0,2.09
29/12/2008,2.13,2.13,2.05,2.1,0,2.1
26/12/2008,2.17,2.24,2.13,2.14,0,2.14
24/12/2008,2.16,2.22,2.15,2.18,0,2.18
23/12/2008,2.19,2.22,2.14,2.16,0,2.16
22/12/2008,2.14,2.18,2.11,2.14,0,2.14
19/12/2008,2.12,2.17,2.07,2.13,0,2.13
18/12/2008,2.1,2.13,2.04,2.07,0,2.07
17/12/2008,2.17,2.22,2.07,2.19,0,2.19
16/12/2008,2.5,2.55,2.35,2.36,0,2.36
15/12/2008,2.58,2.58,2.51,2.53,0,2.53
12/12/2008,2.55,2.75,2.54,2.59,0,2.59
11/12/2008,2.7,2.71,2.62,2.65,0,2.65
10/12/2008,2.7,2.76,2.66,2.68,0,2.68
9/12/2008,2.71,2.75,2.64,2.67,0,2.67
8/12/2008,2.75,2.76,2.67,2.73,0,2.73
5/12/2008,2.56,2.66,2.51,2.66,0,2.66
4/12/2008,2.66,2.67,2.57,2.57,0,2.57
3/12/2008,2.73,2.78,2.65,2.68,0,2.68
2/12/2008,2.74,2.8,2.66,2.69,0,2.69
1/12/2008,2.88,2.89,2.65,2.72,0,2.72
28/11/2008,2.97,3,2.93,2.96,0,2.96
26/11/2008,3.04,3.1,2.98,3,0,3
25/11/2008,3.26,3.26,3.06,3.09,0,3.09
24/11/2008,3.23,3.35,3.21,3.34,0,3.34
21/11/2008,3.09,3.27,3.09,3.17,0,3.17
20/11/2008,3.26,3.26,3.12,3.14,0,3.14
19/11/2008,3.44,3.51,3.35,3.39,0,3.39
18/11/2008,3.62,3.65,3.51,3.54,0,3.54
17/11/2008,3.71,3.73,3.67,3.68,0,3.68
14/11/2008,3.75,3.77,3.7,3.75,0,3.75
13/11/2008,3.74,3.84,3.71,3.82,0,3.82
12/11/2008,3.73,3.73,3.63,3.66,0,3.66
11/11/2008,3.76,3.76,3.76,3.76,0,3.76
10/11/2008,3.83,3.84,3.75,3.76,0,3.76
7/11/2008,3.68,3.8,3.65,3.78,0,3.78
6/11/2008,3.68,3.79,3.67,3.71,0,3.71
5/11/2008,3.73,3.75,3.68,3.69,0,3.69
4/11/2008,3.94,3.94,3.73,3.77,0,3.77
3/11/2008,3.94,3.96,3.9,3.9,0,3.9
31/10/2008,3.88,3.97,3.84,3.97,0,3.97
30/10/2008,3.9,3.96,3.9,3.94,0,3.94
29/10/2008,3.8,3.88,3.76,3.87,0,3.87
28/10/2008,3.81,3.83,3.73,3.82,0,3.82
27/10/2008,3.65,3.75,3.63,3.73,0,3.73
24/10/2008,3.48,3.7,3.48,3.7,0,3.7
23/10/2008,3.57,3.67,3.51,3.53,0,3.53
22/10/2008,3.66,3.7,3.61,3.62,0,3.62
21/10/2008,3.82,3.83,3.69,3.7,0,3.7
20/10/2008,3.95,3.96,3.89,3.89,0,3.89
17/10/2008,3.94,3.99,3.88,3.94,0,3.94
16/10/2008,4,4.07,3.92,3.94,0,3.94
15/10/2008,4.02,4.11,3.97,4.01,0,4.01
14/10/2008,4.03,4.06,3.98,4.02,0,4.02
13/10/2008,3.86,3.86,3.86,3.86,0,3.86
10/10/2008,3.84,3.91,3.82,3.86,0,3.86
9/10/2008,3.73,3.84,3.7,3.83,0,3.83
8/10/2008,3.47,3.84,3.4,3.71,0,3.71
7/10/2008,3.46,3.59,3.46,3.51,0,3.51
6/10/2008,3.53,3.57,3.42,3.43,0,3.43
3/10/2008,3.62,3.77,3.6,3.64,0,3.64
2/10/2008,3.71,3.72,3.63,3.65,0,3.65
1/10/2008,3.75,3.8,3.64,3.77,0,3.77
30/09/2008,3.62,3.83,3.61,3.83,0,3.83
29/09/2008,3.82,3.82,3.57,3.63,0,3.63
26/09/2008,3.79,3.83,3.78,3.83,0,3.83
25/09/2008,3.8,3.9,3.77,3.86,0,3.86
24/09/2008,3.78,3.82,3.74,3.77,0,3.77
23/09/2008,3.79,3.86,3.78,3.84,0,3.84
22/09/2008,3.85,3.9,3.82,3.83,0,3.83
19/09/2008,3.73,3.82,3.71,3.77,0,3.77
18/09/2008,3.45,3.49,3.35,3.44,0,3.44
17/09/2008,3.45,3.46,3.33,3.41,0,3.41
16/09/2008,3.33,3.5,3.25,3.49,0,3.49
15/09/2008,3.53,3.57,3.47,3.48,0,3.48
12/09/2008,3.63,3.73,3.61,3.73,0,3.73
11/09/2008,3.59,3.65,3.56,3.62,0,3.62
10/09/2008,3.59,3.68,3.59,3.64,0,3.64
9/09/2008,3.68,3.69,3.57,3.6,0,3.6
8/09/2008,3.79,3.81,3.65,3.66,0,3.66
5/09/2008,3.6,3.66,3.55,3.66,0,3.66
4/09/2008,3.69,3.7,3.63,3.64,0,3.64
3/09/2008,3.73,3.75,3.69,3.7,0,3.7
2/09/2008,3.85,3.87,3.74,3.75,0,3.75
29/08/2008,3.78,3.85,3.76,3.81,0,3.81
28/08/2008,3.79,3.83,3.77,3.8,0,3.8
27/08/2008,3.81,3.84,3.77,3.77,0,3.77
26/08/2008,3.78,3.82,3.78,3.78,0,3.78
25/08/2008,3.84,3.84,3.76,3.79,0,3.79
22/08/2008,3.85,3.9,3.84,3.87,0,3.87
21/08/2008,3.8,3.85,3.79,3.84,0,3.84
20/08/2008,3.82,3.82,3.78,3.8,0,3.8
19/08/2008,3.8,3.85,3.8,3.84,0,3.84
18/08/2008,3.85,3.87,3.81,3.82,0,3.82
15/08/2008,3.89,3.9,3.82,3.85,0,3.85
14/08/2008,3.94,3.97,3.88,3.89,0,3.89
13/08/2008,3.9,3.97,3.87,3.95,0,3.95
12/08/2008,3.97,3.97,3.91,3.92,0,3.92
11/08/2008,3.94,4.04,3.93,4,0,4
8/08/2008,3.95,3.96,3.9,3.95,0,3.95
7/08/2008,4.04,4.04,3.93,3.93,0,3.93
6/08/2008,4,4.09,4,4.05,0,4.05
5/08/2008,3.98,4.01,3.96,4.01,0,4.01
4/08/2008,3.96,3.97,3.92,3.97,0,3.97
1/08/2008,3.94,4.01,3.93,3.95,0,3.95
31/07/2008,4.04,4.05,3.95,3.98,0,3.98
30/07/2008,4.07,4.12,4.01,4.05,0,4.05
29/07/2008,4.06,4.09,4.04,4.04,0,4.04
28/07/2008,4.09,4.09,3.99,4.02,0,4.02
25/07/2008,4.01,4.11,4.01,4.11,0,4.11
24/07/2008,4.11,4.11,4.01,4.02,0,4.02
23/07/2008,4.15,4.17,4.12,4.15,0,4.15
22/07/2008,4.04,4.13,4.04,4.1,0,4.1
21/07/2008,4.09,4.12,4.06,4.07,0,4.07
18/07/2008,4.07,4.09,4,4.08,0,4.08
17/07/2008,3.94,4.04,3.94,4.04,0,4.04
16/07/2008,3.84,3.94,3.84,3.93,0,3.93
15/07/2008,3.85,3.86,3.77,3.84,0,3.84
14/07/2008,3.99,3.99,3.84,3.88,0,3.88
11/07/2008,3.82,3.97,3.8,3.94,0,3.94
10/07/2008,3.83,3.85,3.78,3.81,0,3.81
9/07/2008,3.92,3.92,3.83,3.83,0,3.83
8/07/2008,3.9,3.93,3.87,3.88,0,3.88
7/07/2008,3.97,4.01,3.86,3.93,0,3.93
3/07/2008,3.95,4.01,3.93,3.97,0,3.97
2/07/2008,3.99,4,3.95,3.96,0,3.96
1/07/2008,3.94,4,3.9,3.99,0,3.99
30/06/2008,3.99,4,3.95,3.98,0,3.98
27/06/2008,4.01,4.03,3.95,3.99,0,3.99
26/06/2008,4.11,4.11,4.02,4.03,0,4.03
25/06/2008,4.12,4.18,4.11,4.11,0,4.11
24/06/2008,4.15,4.15,4.09,4.11,0,4.11
23/06/2008,4.16,4.18,4.12,4.17,0,4.17
20/06/2008,4.15,4.17,4.12,4.14,0,4.14
19/06/2008,4.16,4.22,4.15,4.2,0,4.2
18/06/2008,4.2,4.21,4.13,4.15,0,4.15
17/06/2008,4.22,4.26,4.18,4.22,0,4.22
16/06/2008,4.22,4.27,4.21,4.24,0,4.24
13/06/2008,4.26,4.32,4.17,4.26,0,4.26
12/06/2008,4.13,4.22,4.11,4.2,0,4.2
11/06/2008,4.08,4.11,4.01,4.07,0,4.07
10/06/2008,4.01,4.12,4,4.1,0,4.1
9/06/2008,3.93,4.04,3.92,3.99,0,3.99
6/06/2008,4.04,4.06,3.91,3.94,0,3.94
5/06/2008,3.96,4.04,3.95,4.03,0,4.03
4/06/2008,3.89,3.96,3.86,3.94,0,3.94
3/06/2008,3.95,4.03,3.88,3.9,0,3.9
2/06/2008,4.03,4.05,3.95,3.97,0,3.97
30/05/2008,4.06,4.06,4.02,4.05,0,4.05
29/05/2008,4.05,4.14,4.03,4.08,0,4.08
28/05/2008,3.94,4.03,3.93,4.01,0,4.01
27/05/2008,3.88,3.93,3.86,3.92,0,3.92
23/05/2008,3.88,3.88,3.83,3.83,0,3.83
22/05/2008,3.85,3.96,3.85,3.92,0,3.92
21/05/2008,3.81,3.84,3.78,3.82,0,3.82
20/05/2008,3.84,3.87,3.78,3.78,0,3.78
19/05/2008,3.84,3.89,3.81,3.84,0,3.84
16/05/2008,3.85,3.89,3.78,3.85,0,3.85
15/05/2008,3.93,3.93,3.84,3.84,0,3.84
14/05/2008,3.96,3.99,3.86,3.94,0,3.94
13/05/2008,3.78,3.91,3.78,3.91,0,3.91
12/05/2008,3.79,3.8,3.73,3.78,0,3.78
9/05/2008,3.73,3.79,3.72,3.77,0,3.77
8/05/2008,3.88,3.89,3.8,3.81,0,3.81
7/05/2008,3.91,3.95,3.86,3.87,0,3.87
6/05/2008,3.83,3.89,3.8,3.89,0,3.89
5/05/2008,3.85,3.88,3.83,3.85,0,3.85
2/05/2008,3.74,3.88,3.71,3.85,0,3.85
1/05/2008,3.75,3.78,3.68,3.75,0,3.75
30/04/2008,3.82,3.87,3.76,3.76,0,3.76
29/04/2008,3.81,3.83,3.77,3.83,0,3.83
28/04/2008,3.89,3.89,3.83,3.84,0,3.84
25/04/2008,3.88,3.88,3.84,3.87,0,3.87
24/04/2008,3.73,3.87,3.72,3.83,0,3.83
23/04/2008,3.68,3.77,3.68,3.73,0,3.73
22/04/2008,3.75,3.76,3.68,3.72,0,3.72
21/04/2008,3.73,3.77,3.71,3.71,0,3.71
18/04/2008,3.77,3.85,3.74,3.74,0,3.74
17/04/2008,3.72,3.76,3.67,3.73,0,3.73
16/04/2008,3.62,3.72,3.57,3.7,0,3.7
15/04/2008,3.5,3.59,3.5,3.57,0,3.57
14/04/2008,3.43,3.52,3.43,3.5,0,3.5
11/04/2008,3.48,3.51,3.45,3.47,0,3.47
10/04/2008,3.46,3.55,3.45,3.53,0,3.53
9/04/2008,3.55,3.55,3.45,3.47,0,3.47
8/04/2008,3.52,3.57,3.5,3.56,0,3.56
7/04/2008,3.53,3.61,3.52,3.56,0,3.56
4/04/2008,3.57,3.61,3.47,3.48,0,3.48
3/04/2008,3.58,3.6,3.54,3.59,0,3.59
2/04/2008,3.6,3.61,3.54,3.58,0,3.58
1/04/2008,3.49,3.58,3.49,3.55,0,3.55
31/03/2008,3.43,3.43,3.38,3.43,0,3.43
28/03/2008,3.56,3.56,3.46,3.47,0,3.47
27/03/2008,3.51,3.56,3.47,3.53,0,3.53
26/03/2008,3.49,3.51,3.45,3.49,0,3.49
25/03/2008,3.5,3.53,3.47,3.49,0,3.49
24/03/2008,3.39,3.52,3.39,3.52,0,3.52
20/03/2008,3.35,3.38,3.32,3.33,0,3.33
19/03/2008,3.42,3.5,3.36,3.36,0,3.36
18/03/2008,3.39,3.46,3.36,3.45,0,3.45
17/03/2008,3.37,3.42,3.29,3.31,0,3.31
14/03/2008,3.49,3.54,3.36,3.42,0,3.42
13/03/2008,3.4,3.57,3.39,3.53,0,3.53
12/03/2008,3.56,3.59,3.48,3.48,0,3.48
