,SHANGHAI SE A SHARE - PRICE INDEX,MSCI INDONESIA - PRICE INDEX,KOREA SE COMPOSITE (KOSPI) - PRICE INDEX,MSCI MALAYSIA - PRICE INDEX,PHILIPPINE SE I(PSEi) - PRICE INDEX,TAIWAN SE WEIGHED TAIEX - PRICE INDEX,MSCI THAILAND - PRICE INDEX
2/01/1992,293.75,393.432,610.92,189.65,1172.78,4600.67,244.025
3/01/1992,296.52,394.612,624.23,189.726,1221.16,4612.97,245.313
6/01/1992,298.77,397.275,650.1,191.533,1231.24,4692.17,249.551
7/01/1992,298.77,393.707,645.27,191.11,1241.48,4718.81,253.739
8/01/1992,299.66,399.651,625.85,190.467,1227.39,4772.61,251.276
9/01/1992,300.62,401.021,637.11,190.185,1208.09,4803.51,252.44
10/01/1992,301.83,399.615,619.47,190.27,1219.83,4782.82,253.719
13/01/1992,303.06,405.459,609.9,189.147,1224.34,4904.43,254.576
14/01/1992,305.74,404.511,616.12,188.567,1236.66,4947.16,256.955
15/01/1992,306.63,401.339,604.63,190.562,1260.5,4939.07,260.52
16/01/1992,306.85,399.628,610.19,196.045,1276.79,5022.96,265.776
17/01/1992,307.38,402.942,616.72,195.481,1303.3,5045.94,270.225
20/01/1992,307.39,401.421,633.87,195.55,1303,5102.64,272.902
21/01/1992,307.87,404.22,630,195.034,1301,5135.35,271.577
22/01/1992,307.95,406.188,646.28,196.574,1281.31,5131.42,270.021
23/01/1992,308.53,407.57,667.47,196.7,1282.28,5122.01,271.481
24/01/1992,309.05,413.108,658.04,195.64,1278.68,5243.6,271.31
27/01/1992,311.61,415.941,675.11,195.009,1268.2,5341.49,268.396
28/01/1992,311.84,424.991,665.96,195.011,1230.59,5312.67,266.134
29/01/1992,312.42,435.521,659.28,195.208,1242.04,5390.05,267.264
30/01/1992,312.73,451.185,664.13,193.933,1231.03,5391.63,265.518
31/01/1992,313.24,467.306,680.51,195.497,1255.97,5391.63,265.787
3/02/1992,314.18,480.464,680.51,195.497,1267.28,5391.63,267.472
4/02/1992,314.18,474.328,691.37,195.497,1261.94,5391.63,267.737
5/02/1992,314.18,474.837,691.37,195.497,1246.87,5391.63,265.813
6/02/1992,314.18,464.174,690.84,197.248,1252.37,5391.63,265.048
7/02/1992,314.72,475.304,690.9,201.864,1253.57,5237.37,265.842
10/02/1992,315.56,471.518,687.18,206.635,1234.53,5204.55,266.276
11/02/1992,316.43,463.977,674.32,206.717,1212.79,5072.04,267.443
12/02/1992,316.44,464.847,664.23,205.222,1225.48,5061.6,273.691
13/02/1992,317.04,467.577,656.49,203.83,1219.32,5088.1,272.389
14/02/1992,319.68,468.604,658.63,204.293,1201.75,5023.41,271.887
17/02/1992,319.77,467.038,640.14,204.338,1179.1,4859.48,276.603
18/02/1992,337.11,458.753,638.22,207.924,1176.57,4766.91,276.603
19/02/1992,342.41,446.42,648.13,210.155,1141.01,4839.42,272.937
20/02/1992,347.99,442.702,632.66,210.282,1139.36,4995.32,271.843
21/02/1992,351.22,450.435,632.91,210.541,1156.08,4950.37,273.219
24/02/1992,352.24,451.72,637.73,208.766,1188.31,5070.24,279.354
25/02/1992,354.59,444.701,632.07,205.167,1215.15,4987.73,277.961
26/02/1992,356.49,444.678,621.42,206.665,1193.48,4951.5,273.886
27/02/1992,358,444.946,624.36,205.839,1201.11,5019.22,268.834
28/02/1992,360.46,446.92,614.99,206.623,1183.67,5031.69,267.998
2/03/1992,362.38,447.277,620.65,205.573,1171.83,5144.37,263.574
3/03/1992,364.46,454.914,615.92,203.542,1157.46,5056.64,267.94
4/03/1992,365.92,455.042,630.47,203.947,1159.98,5066.4,269.511
5/03/1992,367.69,455.042,619.23,202.095,1157.61,5033.53,271.803
6/03/1992,369.47,454.805,626.09,200.861,1118.81,4988.08,273.235
9/03/1992,371.45,455.952,628.02,198.382,1106.38,4923.03,271.001
10/03/1992,373.06,452.594,628.02,199.397,1116.71,4926.2,271.566
11/03/1992,374.36,454.344,619.05,200.557,1120.03,4965.48,274.861
12/03/1992,375.51,454.962,619.11,201.946,1118.21,4984.86,275.816
13/03/1992,374.91,455.112,614.58,202.781,1122.63,5030.63,275.604
16/03/1992,375.65,452.253,608.36,200.667,1106.61,5012.96,271.406
17/03/1992,376.42,445.088,615.19,200.738,1083.01,4890.32,271.895
18/03/1992,377.17,439.979,614.36,201.793,1101.27,4851.95,275.888
19/03/1992,377.35,443.016,612.67,201.741,1105.07,4810.23,277.769
20/03/1992,378.1,440.618,615.39,202.801,1120.17,4818.18,279.761
23/03/1992,379.22,440.089,624.13,204.567,1101.79,4685.16,285.715
