Date,FTSE GERMANY AUTO & PARTS - PRICE INDEX,FTSE GERMANY BANKS - PRICE INDEX,FTSE GERMANY BASIC MATS - PRICE INDEX,FTSE GERMANY CHEMICALS - PRICE INDEX,FTSE GERMANY CON & MAT - PRICE INDEX,FTSE GERMANY CONSUMER GDS - PRICE INDEX,FTSE GERMANY CONSUMER SVS - PRICE INDEX,FTSE GERMANY ELTRO/ELEC EQ - PRICE INDEX,FTSE GERMANY FD PRODUCERS - PRICE INDEX,FTSE GERMANY FIN SVS L - PRICE INDEX,FTSE GERMANY FINANCIALS - PRICE INDEX,FTSE GERMANY GEN RETAILERS - PRICE INDEX,FTSE GERMANY GENERAL INDS - PRICE INDEX,FTSE GERMANY H/C EQ & SVS - PRICE INDEX,FTSE GERMANY HEALTH CARE - PRICE INDEX,FTSE GERMANY INDS ENG - PRICE INDEX,FTSE GERMANY INDS TRANSPT - PRICE INDEX,FTSE GERMANY INDUSTRIALS - PRICE INDEX,FTSE GERMANY NONLIFE INSUR - PRICE INDEX,FTSE GERMANY PERSONAL GOODS - PRICE INDEX,FTSE GERMANY PHARM & BIO - PRICE INDEX,FTSE GERMANY S/W & COMP SVS - PRICE INDEX,FTSE GERMANY TCH H/W & EQ - PRICE INDEX,FTSE GERMANY TECHNOLOGY - PRICE INDEX,FTSE GERMANY TELECOM - PRICE INDEX,FTSE GERMANY TRAVEL & LEIS - PRICE INDEX,FTSE GERMANY UTILITIES - PRICE INDEX,FTSE W GERMANY FXD LINE T/CM L - PRICE INDEX,FTSE W GERMANY LEISURE GDS L - PRICE INDEX,FTSE W GERMANY SUPPORT SVS L - PRICE INDEX
18/01/2013,292.19,67.35,671.04,735.38,150.22,336.7,72.93,93.02,563.23,150.77,133.5,60.16,412.19,741.95,707.14,1181.19,159.18,277.86,156.77,972.84,956.64,377.5,28.55,240.39,79.68,52.16,166.62,167.31,355.29,140.56
21/01/2013,293.75,67.47,675.75,740.39,150.06,337.67,73.79,93.02,555.41,150.69,133.97,60.45,415.04,749.13,711.59,1184.01,159.5,279.27,157.57,967.4,954.9,379.75,28.74,241.85,80.31,53.68,168.86,167.31,355.29,141.28
22/01/2013,293.61,66.1,672.75,737.14,149.19,337.03,73.59,93.02,553.75,149.57,132.33,60.78,415.59,753.67,714.81,1182.36,158.16,278.96,156.26,963.47,955.67,376.21,28.37,239.49,79.31,53.1,164.65,167.31,355.29,140.66
23/01/2013,295.17,65.11,672.9,737.33,149.93,338.73,73.53,93.02,553.39,151.92,131.66,61.73,415.46,767.71,728.67,1189.02,157.89,279.1,155.91,970.92,975.94,385.22,28.67,244.85,78.78,52.13,161.84,167.31,355.29,141.19
24/01/2013,295.82,66.69,675.81,740.51,150.04,339.92,74.51,93.02,555.78,155.57,133.76,62.3,404.68,766.4,728.1,1198.82,160.04,275.05,157.55,969.23,977.36,383.42,28.41,243.59,79.14,53.18,161.38,167.31,355.29,141.79
25/01/2013,299.58,67.21,695.21,762.16,148.91,344.51,74.98,93.02,561.85,156.29,134.74,63.63,407.05,768.55,732.41,1214.75,162.23,276.75,158.72,976.73,990.52,390.78,28.52,247.84,79.64,53.91,161.34,167.31,355.29,141.91
28/01/2013,300.35,67.75,693.37,760.24,147.24,344.5,74.73,93.02,562.77,155.57,134.53,63.63,404.29,763.14,726.07,1207.93,163.2,275.36,157.71,969.62,978.12,390.13,28.39,247.35,79.89,53.92,158.75,167.31,355.29,142.19
29/01/2013,300.33,67.59,687.16,753.29,147.55,345.52,74.74,93.02,567.36,157.78,135.24,62.91,406.59,768.47,729.62,1207.8,162.67,276.29,159.04,975.31,977.97,389.58,27.68,246.34,80.73,53.87,161.85,167.31,355.29,141.66
30/01/2013,297.77,67.75,682.06,747.77,149.46,342.99,74.65,93.02,577.02,155.6,134.88,62.89,405.61,772.01,735.71,1200,161.67,275.78,158.39,969.66,995,389.5,27.23,245.87,80.84,53.4,160.06,167.31,355.29,141.41
31/01/2013,294.36,69.25,676.91,742.19,149.86,339.06,73.95,93.02,579.69,153.98,135.97,62.16,402.85,773.34,737.64,1189.11,159.81,273.93,158.8,960.03,999.75,389.57,28.3,246.95,80.97,52.68,155.96,167.31,355.29,140.96
1/02/2013,299.12,69.69,684.5,750.36,152.66,345.14,74.83,93.02,589.16,152.65,136.45,62.15,399.4,777.61,742.25,1196.03,161.47,273.49,159.33,982.4,1007.74,393.51,29.35,250.19,80.69,53.15,156.01,167.31,355.29,142.38
4/02/2013,289.67,67.06,667.43,731.67,148.03,335.12,73.76,93.02,580.24,152.46,132.48,60.62,386.86,779.02,739.88,1184.05,156.68,265.46,154.94,956.96,992.5,388.13,28.54,246.37,79.1,52,154.57,167.31,355.29,138.37
5/02/2013,288.66,67.85,667.76,732,149.98,334.34,74.62,93.02,581.25,153.33,134.87,60.25,388.37,784.47,743.2,1193.06,156.77,266.66,158.53,957.44,990.92,388.9,27.86,246.14,78.61,52.09,155.1,167.31,355.29,138.16
6/02/2013,289.93,66.8,656.42,719.38,149.04,334.72,75.85,93.02,583,152.7,132.82,60.34,384.79,770.83,730.09,1160.7,157.32,264.47,155.92,950.44,972.82,382.85,27.78,242.65,78.04,53.29,152.64,167.31,355.29,137.95
7/02/2013,293.4,65.57,659.2,722.5,154.88,337.09,75.64,93.02,581.62,151.35,131.55,60.28,384.57,779.65,734.51,1170.14,157.6,265.68,155.19,948.77,965.9,382.89,27.46,242.36,77.66,52.79,151.95,167.31,355.29,138.9
8/02/2013,300.94,66.27,660.47,723.88,156,345.27,77,93.02,593.85,151,132.22,60.58,384.34,781.6,735.34,1184.77,157.07,265.93,155.63,965.16,963.68,385.26,27.88,244.11,77.17,53.85,155.55,167.31,355.29,139.86
11/02/2013,297.41,65.99,657.38,720.39,157.93,342.06,76.96,93.02,589.62,150.14,132.02,60.58,385.99,778.72,735.57,1178.99,155.94,266.74,155.72,962.71,973.63,381.82,27.6,241.89,77.17,53.59,159.52,167.31,355.29,143.02
12/02/2013,295.5,66.56,658.75,721.89,158.06,340.7,77.47,93.02,596.24,153.65,133.24,60.33,388.16,776.55,735.91,1176.35,155.77,267.74,156.94,966.54,981.89,387.94,27.29,245.05,76.94,54.51,161.26,167.31,355.29,145.14
13/02/2013,299.03,66.2,665.49,729.25,162.88,344.35,79.72,93.02,596.7,154.4,133.26,60.29,394.03,779.91,741.06,1183.4,157.72,271.98,157.35,976.88,995.18,388.38,27.37,245.37,76.37,55.1,160.41,167.31,355.29,148.77
14/02/2013,294.44,65.39,654.95,717.74,162.84,340.11,79.75,93.02,603.32,153.84,132.14,60.37,391.77,774.95,739.09,1180.86,156.69,270.62,156.26,972.46,1001.43,387.23,26.77,244.14,75.75,54.87,158.34,167.31,355.29,147.84
15/02/2013,293.58,65,652.14,714.67,161.45,340.16,79.23,93.02,599,151.79,130.96,60.1,389.78,771.78,742,1181.66,156.37,269.56,154.71,979.44,1024.61,387.07,26.85,244.12,73.27,55.19,156.36,167.31,355.29,151.53
18/02/2013,294.45,65.43,656.02,718.94,161.01,341.05,80.54,93.02,603.23,149.14,131.73,59.92,389.92,775.25,743.4,1177.11,156.18,269.4,155.98,982.83,1020.32,384.26,26.64,242.34,73.88,55.6,160.56,167.31,355.29,150.89
19/02/2013,299.33,66.09,675.54,740.41,163.75,345.66,79.66,93.02,612.42,151.44,133.88,60.08,394.63,775.34,749.12,1196.7,158.96,273.18,159.07,984.2,1046.34,387.36,27.89,245.3,74.29,56.81,160.07,167.31,355.29,154.42
20/02/2013,298.56,65.19,680.88,746.38,167.07,345.46,78.69,93.02,600.28,150.47,132.43,59.79,392.44,769.46,744.37,1197.38,159.78,273,157.51,990.09,1042.64,388.49,28.4,246.44,72.76,53.96,156.78,167.31,355.29,153.99
21/02/2013,291.57,62.78,669.57,734.01,163.11,338.5,78.41,93.02,598.45,146.82,128.89,59.5,385.03,773.05,745.4,1193,158.47,268.39,154.11,979.28,1036.27,382.79,27.89,242.73,71.6,53.42,152.99,167.31,355.29,149.43
22/02/2013,285.38,63.67,682.13,747.79,165.52,333.39,78.68,93.02,605.99,148.34,131.35,59.63,390.49,783.67,752.47,1201.92,158.95,271.6,157.61,977.84,1035.99,385.92,27.14,243.76,72.98,53.75,156.34,167.31,355.29,151.23
25/02/2013,289.94,65,689.74,756.11,168.04,338.1,78.54,93.02,608.56,156.67,133.99,59.58,396.93,782.21,753.93,1200.82,159.26,275.04,160.05,985.99,1047.2,391.66,27.8,247.64,73.97,53.24,158.62,167.31,355.29,152.32
26/02/2013,284.22,62.02,672.17,736.82,166.36,331.78,78.19,93.02,609.66,152.49,129.59,59.5,389.64,798.97,764.14,1181.32,157.17,270.52,155.75,970.86,1042.3,382.01,26.99,241.41,72.83,52.56,153.53,167.31,355.29,150.32
27/02/2013,290.4,62.95,677.78,742.63,169.02,337.76,77.36,93.02,609.85,151.9,130.78,59.54,393.17,794.64,759.92,1181.02,158.5,272.96,156.98,977.33,1036.28,385.56,27.43,243.84,73.59,52.72,155.29,167.31,355.29,151.62
28/02/2013,291.61,63.1,686.12,751.97,168.25,339.57,78,93.02,617.02,150.9,131.91,60.01,396.08,797.9,765.8,1199.17,159.18,274.63,159.12,982.19,1053.26,388.04,27.95,245.74,73.57,54.06,156.81,167.31,355.29,152.08
1/03/2013,288.73,60.74,682.9,748.5,167.73,337.71,77.54,93.02,624.01,151.77,129.99,59.71,395.28,798.64,768.74,1196.32,159.8,274.31,158.29,988.8,1064.49,391.12,27.78,247.31,72.62,54.64,157.23,167.31,355.29,152.34
4/03/2013,285.87,60.05,682.04,747.65,166.43,334.97,76.42,93.02,621.62,150.25,129.44,59.68,394.04,803.63,770.46,1184.05,157.35,272.65,158.29,984.95,1056.94,394.5,27.22,248.66,72.71,54.34,158.06,167.31,355.29,151.55
5/03/2013,294.99,61.82,697.42,764.52,169,343.74,76.75,93.02,621.89,154.22,132.82,59.27,402.25,802,770.07,1194.83,165.58,279.14,162.17,998.25,1060.23,404.8,27.7,254.93,74.06,54.97,160.43,167.31,355.29,153.02
6/03/2013,296.35,61.58,700.95,768.49,170.7,345.93,76.71,93.02,615.27,156.35,134.52,58.7,406.52,803.44,770.26,1196.43,164.31,281.02,165.54,1002,1056.64,409.86,27.89,257.97,74.05,54.79,159.36,167.31,355.29,152.3
7/03/2013,296.84,61.44,698.5,765.77,170.69,348.54,76.58,93.02,619.59,156.54,135.6,59.03,407.34,793.09,766.91,1193.33,166.5,281.96,167.81,1044.54,1073.22,412.58,27.62,259.24,74.14,54.44,159.64,167.31,355.29,153.8
8/03/2013,296.86,62.59,699.23,766.52,172.02,348.45,76.62,93.02,625.48,157.92,137.25,59.06,414.35,783.79,763.73,1185.39,167.36,285.42,169.41,1038.99,1087.31,412.03,29.18,260.45,74.86,54.41,161.41,167.31,355.29,153.93
11/03/2013,297.09,61.96,698.14,765.37,174.01,350.16,76.65,93.02,594.58,158.84,136.2,58.96,414.14,793.63,768.51,1180.94,167.72,285.7,168.05,1054.79,1078.93,413.09,28.91,260.78,75.12,53.87,160.49,167.31,355.29,154.21
12/03/2013,294.4,61.6,696.98,764.08,174.58,347.82,77.21,93.02,589.53,159.91,136.36,58.66,412.79,797.68,771,1181.73,167.17,285.08,168.71,1060.42,1077.79,411.23,28.87,259.7,74.91,55.53,158.86,167.31,355.29,154.31
13/03/2013,294.32,60.01,700.47,768,175.38,348.66,77.15,93.02,586.86,157.76,135.48,58.59,413.42,795.55,770.27,1179.32,167.75,285.59,169.28,1067.41,1081.07,413.22,28.19,260.16,74.76,55.21,158.64,167.31,355.29,153.91
14/03/2013,293.69,60.39,711.5,780.21,179.12,348.32,78.67,93.02,594.49,161.21,137.11,58.1,417.72,800.44,773.28,1184.27,170.95,289.11,171.57,1068.29,1079.75,418.39,27.94,262.82,76.3,56.88,160.09,167.31,355.29,154.46
15/03/2013,290.52,60.11,710.41,779.05,180.93,346.05,78.8,93.02,595.04,163.31,136.9,57.6,415.89,800.91,772.34,1189.27,170.24,288.54,171.26,1074.61,1074.01,418.28,28.13,262.95,76.73,57.21,159.68,167.31,355.29,154.86
18/03/2013,290.16,59.13,707.16,775.48,179.68,346.6,79.45,93.02,604.88,162.45,135.09,59.05,418.41,796.21,769.47,1188.41,170.17,289.59,169.08,1080.11,1074.37,415.94,27.63,261.15,76.09,58.08,159.18,167.31,355.29,155.14
19/03/2013,285.1,56.92,702.98,770.98,180.48,342.72,79.6,93.02,604.97,157.76,132.51,59.07,419.04,795.42,771.01,1172.24,168.21,289.22,167.52,1076.26,1082.61,414.81,27.47,260.35,75.84,57.28,159.19,167.31,355.29,155.48
20/03/2013,286.22,57.66,711.37,780.31,184.07,342.8,79.96,93.02,600.28,157.3,133.75,58.81,421.84,791.21,770.36,1169.78,168.5,290.98,169.04,1070.74,1090.69,415.27,27.49,260.62,76.37,57.05,161.12,167.31,355.29,155.71
21/03/2013,280.7,58.05,697.49,764.99,181.4,337.6,79.73,93.02,598.63,156.56,132.84,58.11,427.77,792.29,771.2,1161.81,167.23,292.69,166.8,1062.74,1091.31,406.86,26.77,255.18,75.98,56.21,167.11,167.31,355.29,153.17
22/03/2013,281.61,57.42,690.18,757.09,176.63,339.47,79.68,93.02,602.95,154.81,132.73,58.43,425.6,798.41,773.54,1138.49,165.74,290.28,167.65,1081.88,1085.18,404.14,26.5,253.39,76.18,55.61,168.56,167.31,355.29,153.85
25/03/2013,281.19,55.74,688.81,755.66,171.86,340.1,79.4,93.02,601.66,155.3,130.67,58.73,424.08,807.98,777.53,1129.79,166.05,288.82,165.75,1094.83,1076.93,402.39,26.62,252.52,76.04,55.68,164.71,167.31,355.29,152.63
26/03/2013,282.26,55.6,692.72,760.08,177.69,341.82,78.85,93.02,597.25,154.6,130.92,59.06,420.05,806.13,781.61,1150.67,165.67,288.17,166.51,1104.89,1098.07,401.17,26.75,251.97,74.64,55.47,164.43,167.31,355.29,154.99
27/03/2013,278.78,54.25,684.06,750.62,178.14,338.1,78.44,93.02,590.26,152.35,128.33,59.17,415.59,813.14,788.07,1136.66,164.36,285.45,163.46,1095.51,1106.24,398.94,26.44,250.41,73.45,55.01,163.08,167.31,355.29,152.15
28/03/2013,274.57,54.2,690.09,757.25,176.18,335.31,79.19,93.02,605.99,150.14,128.19,59.5,412.97,807.95,786.66,1135.46,164.83,284.21,163.53,1094.02,1113.77,404.67,26.24,253.44,73.74,54.75,165.12,167.31,355.29,153.19
29/03/2013,274.57,54.2,690.09,757.25,176.18,335.31,79.19,93.02,605.99,150.14,128.19,59.5,412.97,807.95,786.66,1135.46,164.83,284.21,163.53,1094.02,1113.77,404.67,26.24,253.44,73.74,54.75,165.12,167.31,355.29,153.19
