Date,MSCI WORLD U$ - PRICE INDEX,MSCI EUROPE U$ - PRICE INDEX,MSCI EAFE U$ - PRICE INDEX,MSCI PACIFIC U$ - PRICE INDEX,MSCI AC WORLD U$ - PRICE INDEX
1/01/1993,497.132,487.708,748.617,1544.338,123.882
4/01/1993,494.855,483.519,743.378,1535.915,123.32
5/01/1993,495.792,489.833,747.563,1533.516,123.633
6/01/1993,495.515,491.444,746.836,1525.604,123.597
7/01/1993,493.126,488.868,745.937,1529.874,123.04
8/01/1993,489.66,484.631,738.531,1512.785,122.214
11/01/1993,490.451,485.154,738.931,1512.804,122.416
12/01/1993,489.36,481.739,735.309,1508.577,122.152
13/01/1993,488.579,480.972,730.714,1492.248,121.927
14/01/1993,491.317,485.42,734.301,1493.161,122.609
15/01/1993,492.219,487.156,735.481,1492.617,122.812
18/01/1993,493.513,490.83,739.287,1496.796,123.117
19/01/1993,493.736,491.281,742.257,1507.488,123.172
20/01/1993,492.755,492.571,741.734,1501.391,122.947
21/01/1993,492.769,489.819,739.29,1499.919,122.95
22/01/1993,492.82,491.441,737.99,1489.644,123.004
25/01/1993,497.308,498.628,745.424,1497.772,124.105
26/01/1993,498.654,501.492,748.77,1502.568,124.425
27/01/1993,496.189,494.812,744.158,1504.362,123.755
28/01/1993,499.03,493.067,751.018,1537.637,124.365
29/01/1993,497.833,487.46,747.347,1539.954,124.065
1/02/1993,498.886,484.454,744.812,1538.896,124.295
2/02/1993,498.781,483.178,744.771,1542.653,124.256
3/02/1993,501.317,481.959,745.537,1549.519,124.876
4/02/1993,502.48,485.067,745.748,1540.814,125.218
5/02/1993,504.532,490.551,751.88,1548.884,125.72
8/02/1993,504.597,490.26,752.774,1553.414,125.735
9/02/1993,503.063,484.777,751.896,1566.714,125.372
10/02/1993,504.188,484.876,753.401,1572.53,125.662
11/02/1993,506.5,484.013,757.744,1592.848,126.249
12/02/1993,504.307,487.233,755.52,1573.891,125.692
15/02/1993,504.879,484.748,757.092,1587.935,125.838
16/02/1993,500.369,486.948,759.562,1591.21,124.702
17/02/1993,500.879,490.254,761.967,1590.818,124.821
18/02/1993,500.545,489.768,762.834,1595.841,124.709
19/02/1993,503.715,495.369,768.027,1599.73,125.541
22/02/1993,506.353,497.271,774.2,1618.989,126.183
23/02/1993,504.476,492.254,769.594,1615.697,125.718
24/02/1993,506.277,489.882,766.198,1609.185,126.141
25/02/1993,507.251,490.242,766.435,1609.038,126.368
26/02/1993,508.673,492.026,768.772,1613.053,126.728
1/03/1993,509.16,499.112,771.459,1602.147,126.784
2/03/1993,513.505,501.988,775.842,1611.129,127.844
3/03/1993,515.565,505.846,779.303,1613.319,128.364
4/03/1993,513.736,504.616,776.785,1606.859,127.929
5/03/1993,512.485,503.524,774.796,1602.129,127.619
8/03/1993,522.972,505.466,791.649,1664.777,130.147
9/03/1993,524.098,504.538,795.17,1681.984,130.438
10/03/1993,524.542,503.849,793.485,1677.244,130.559
11/03/1993,523.594,503.226,794.712,1684.166,130.334
12/03/1993,520.763,499.462,791.971,1684.618,129.665
15/03/1993,520.105,499.966,788.319,1668.183,129.528
16/03/1993,520.717,501.395,790.471,1672.54,129.717
17/03/1993,521.09,498.23,795.748,1703.812,129.799
18/03/1993,528.51,501.173,810.557,1755.057,131.593
19/03/1993,531.765,510.793,821.597,1770.332,132.39
22/03/1993,529.823,503.391,818.059,1778.78,131.921
23/03/1993,528.233,503.005,813.752,1762.419,131.51
24/03/1993,525.778,502.583,807.985,1740.221,130.95
25/03/1993,528.797,502.251,812.338,1758.987,131.662
26/03/1993,531.007,507.048,822.229,1784.477,132.182
29/03/1993,534.409,508.1,828.144,1805.336,133.046
30/03/1993,535.669,509.888,829.676,1806.052,133.352
31/03/1993,537.2,516.303,834.605,1806.31,133.75
1/04/1993,541.735,518.274,848.965,1858.781,134.817
2/04/1993,544.289,520.933,867.716,1926.996,135.432
5/04/1993,546.253,515.242,871.37,1959.481,135.882
6/04/1993,541.818,513.869,860.984,1921.389,134.834
7/04/1993,546.01,513.194,871.175,1965.018,135.872
8/04/1993,548.93,516.486,879.805,1990.021,136.574
9/04/1993,547.938,516.757,877.152,1978.37,136.344
12/04/1993,551.873,520.747,879.174,1974.281,137.301
13/04/1993,560.588,530.807,901.86,2035.664,139.405
14/04/1993,557.722,529.062,894.493,2011.026,138.766
15/04/1993,557.604,525.938,894.181,2019.414,138.736
16/04/1993,553.256,518.173,881.349,1991.109,137.703
19/04/1993,555.176,522.689,888.403,2005.907,138.149
20/04/1993,554.977,528.038,890.244,1996.861,138.15
21/04/1993,551.832,525.16,883.56,1978.507,137.422
22/04/1993,550.874,526.822,886.723,1986.263,137.2
23/04/1993,551.477,531.137,891.506,1992.414,137.301
26/04/1993,552.082,534.57,897.185,2004.953,137.435
27/04/1993,558.034,533.186,907.458,2051.146,138.842
28/04/1993,555.609,526.644,901.085,2045.402,138.185
29/04/1993,556.433,526.683,901.232,2045.882,138.388
