Date,FTSE JAPAN AUTO & PARTS - PRICE INDEX,FTSE JAPAN BANKS - PRICE INDEX,FTSE JAPAN BASIC MATS - PRICE INDEX,FTSE JAPAN BEVERAGES - PRICE INDEX,FTSE JAPAN CHEMICALS - PRICE INDEX,FTSE JAPAN CON & MAT - PRICE INDEX,FTSE JAPAN CONSUMER GDS - PRICE INDEX,FTSE JAPAN CONSUMER SVS - PRICE INDEX,FTSE JAPAN ELECTRICITY - PRICE INDEX,FTSE JAPAN ELTRO/ELEC EQ - PRICE INDEX,FTSE JAPAN FD & DRUG RTL - PRICE INDEX,FTSE JAPAN FD PRODUCERS - PRICE INDEX,FTSE JAPAN FIN SVS L - PRICE INDEX,FTSE JAPAN FINANCIALS - PRICE INDEX,FTSE JAPAN FORESTRY & PAP - PRICE INDEX,FTSE JAPAN FXD LINE T/CM - PRICE INDEX,FTSE JAPAN GEN RETAILERS - PRICE INDEX,FTSE JAPAN GENERALS INDS - PRICE INDEX,FTSE JAPAN HEALTH CARE - PRICE INDEX,FTSE JAPAN INDS ENG - PRICE INDEX,FTSE JAPAN INDS TRANSPT - PRICE INDEX,FTSE JAPAN INDUSTRIAL MET - PRICE INDEX,FTSE JAPAN INDUSTRIALS - PRICE INDEX,FTSE JAPAN LEISURE GDS - PRICE INDEX,FTSE JAPAN MEDIA - PRICE INDEX,FTSE JAPAN NONLIFE INSUR - PRICE INDEX,FTSE JAPAN OIL & GAS - PRICE INDEX,FTSE JAPAN OIL & GAS PROD - PRICE INDEX,FTSE JAPAN PERSONAL GOODS - PRICE INDEX,FTSE JAPAN PHARM & BIO - PRICE INDEX,FTSE JAPAN S/W & COMP SVS - PRICE INDEX,FTSE JAPAN SUPPORT SVS - PRICE INDEX,FTSE JAPAN TCH H/W & EQ - PRICE INDEX,FTSE JAPAN TECHNOLOGY - PRICE INDEX,FTSE JAPAN TELECOM - PRICE INDEX,FTSE JAPAN TOBACCO - PRICE INDEX,FTSE JAPAN TRAVEL & LEIS - PRICE INDEX,FTSE JAPAN UTILITIES - PRICE INDEX
20/01/1995,133.76,103.61,109.01,83.29,99.67,86.42,90.7,128.41,51.06,70.31,98.05,109.56,78.8,89.99,126.6,52.44,148.79,88.43,84.34,177.01,94.01,140.03,122.85,108.78,74.76,75.28,115.68,115.5,57.95,65.66,36.29,90.31,51.92,49.9,95.29,79.57,167.33,51.7
23/01/1995,128.22,98.59,105.18,79.97,95.24,84.31,86.73,122.2,47.56,67.48,93.86,103.45,72.8,84.94,121.74,48.56,138.22,85.19,80.62,168.34,90.35,134.71,117.44,103.69,70.72,71.41,109.82,109.66,55.32,63.13,34.65,89.22,49.86,47.91,90.39,77.99,161.53,48.56
24/01/1995,129.22,98.63,107.21,81.53,96.14,87.35,87.67,123.14,49.51,68.14,95,105.5,74.62,85.61,121.34,50.18,141.11,85.51,82.05,172.14,90.84,136.67,119.23,105.22,72.56,72.79,112.25,112.08,56.32,64.39,35.24,88.21,50.66,48.68,92.01,78.78,161.29,50.5
25/01/1995,129.26,99.72,110.29,81.02,97.52,90.93,87.72,123.43,49.72,69.11,93.81,104.97,76.95,86.93,121.36,49.59,140.88,86.22,81.95,175.42,90.97,141.33,121.14,105.33,72.28,72.69,112.29,112.12,57.22,64.32,35.12,88.57,51.04,49.04,90.87,78.52,161.64,50.62
26/01/1995,129.12,98.2,109.82,81.61,96.5,90.23,87.76,123.09,49.01,69.13,92.2,103.85,75.73,85.64,118.09,48.83,139.15,86.69,81.61,174.14,90.51,142.88,120.79,105.61,72.35,71.93,111.47,111.3,56.65,64.21,35,87.25,50.52,48.54,89.36,77.99,158.41,49.95
27/01/1995,128.6,98.21,110.24,81.83,96.18,90.93,87.33,122.73,49.02,69.09,90.98,103.6,75.02,85.41,117.93,48.94,137.28,86.73,81.63,174.8,90.32,143.85,120.99,104.96,72.5,71.81,111.07,110.91,55.64,64.44,35.24,87.38,50.17,48.21,88.56,77.99,159.34,50.07
30/01/1995,129.71,108.83,113.87,84.33,96.86,97.72,88.03,124.57,49.35,69.47,92.64,105.92,81.9,93.88,119.58,50.08,138.88,86.68,83.15,177.74,91.87,145.42,122.25,105.72,73.9,73.83,113.02,112.85,56.67,65.14,36.18,89.95,50.63,48.66,90.3,77.91,159.42,50.32
31/01/1995,127.13,110.2,113.53,83.19,96.73,97.39,86.15,124.57,49.86,68.74,88.61,104.77,83.87,95.65,118.3,49.3,136.91,87.11,82.34,175.42,92.69,145.07,120.99,103.24,72.23,76.67,113.83,113.66,56.05,64.65,36.41,91.44,49.15,47.27,87.08,78.78,159.55,50.71
1/02/1995,127.18,109.29,112.57,83.57,96.93,95.66,86.83,125.81,50.06,68.59,87.29,106.41,82.89,94.86,118.39,48.71,136.97,87.86,82.89,176.62,94.21,143.89,121.39,105.12,73.29,77.02,117.67,117.49,56,64.88,36.65,89.88,49.94,48.02,85.86,77.82,160.25,51.01
2/02/1995,127.13,108.33,111.22,83.38,96.8,93.41,86.75,125.37,51.28,68.23,87.88,105.49,81.71,93.67,118.48,47.79,137.03,87,82.61,175.52,93.48,142.43,120.64,104.93,73.21,74.77,117.48,117.3,55.32,64.96,35.94,88.81,49.74,47.81,85.8,77.2,161.59,52.12
3/02/1995,126.77,107.68,110.28,83.3,96.71,91.86,86.73,124.88,52.19,68.3,86.94,105.53,80.41,92.82,118.02,48.98,137.22,86.65,82.71,174.38,93.18,141.51,120.26,105.27,73,74.34,116.52,116.35,55.05,65.17,35.59,88.23,49.74,47.81,85.75,77.29,161.76,52.96
6/02/1995,127.31,107.83,111.59,83.37,97.51,93.27,87.18,125.01,51.99,68.78,88.02,105.95,81.21,93.16,119.18,48.8,138.02,87.24,83.28,174.51,93.13,143.13,120.74,105.96,73.04,74.22,117.31,117.14,54.99,65.82,35.82,89.07,50.4,48.44,86.41,77.91,161.82,52.79
7/02/1995,126.62,106.81,110.48,82.77,96.78,92.28,86.74,124.68,51.56,68.54,88.22,105.23,80.46,92.32,118.62,48.9,138.16,86.13,82.94,171.78,92.66,141.32,119.49,105.47,72.78,74.05,116.92,116.75,55.33,65.66,35.12,88.43,50.05,48.09,86.61,78.08,162.32,52.34
8/02/1995,125.86,104.51,109.14,81.35,95.83,91.24,86.08,123.13,50.26,67.79,87.08,104.14,77.86,90.08,117.08,48.32,137.25,84.54,82.08,169.45,91.49,139.21,117.94,104.46,72.26,72.27,114.51,114.33,55.92,64.91,35.24,85.93,49.82,47.88,85.51,77.91,159.78,51.23
9/02/1995,124.62,103.22,108.12,80.96,95.28,90.19,85.29,121.98,50.42,67.62,86.17,103.86,77.68,89.27,115.86,47.23,136.34,83.69,81.65,167.44,91.38,137.8,117.03,103.6,71.82,72.99,114.06,113.88,55.11,64.63,34.88,85.41,49.08,47.17,84.33,77.82,158.72,51.3
10/02/1995,124.96,105.23,109.05,82.82,95.91,91.62,85.83,122.51,51.18,67.71,87.46,105.34,79.18,90.91,115.68,47.35,137.49,82.75,82.42,169.01,92.41,138.35,117.49,104.75,71.77,73.36,115.1,114.92,54.8,64.91,34.41,84.68,49.39,47.46,85.29,77.73,158.47,52.07
13/02/1995,125.1,104.94,108.94,81.98,95.96,91.33,85.72,122.65,50.93,67.75,87.81,105.82,79.47,90.86,115.48,46.53,138.01,83.62,82.46,169.24,92.13,138.4,117.72,104.27,72.26,72.97,114.8,114.63,55.35,64.81,34.3,85.54,49.24,47.31,85.12,77.91,159.18,51.75
14/02/1995,123.66,104.38,107.43,81.85,94.78,89.59,84.61,120.94,50.32,66.99,86.48,105.02,78.15,90.06,115.24,45.26,136.04,83.42,81.94,166.56,90.99,136.82,116.23,102.71,71.39,72.74,113.7,113.53,54.49,64.45,33.94,83.2,48.45,46.56,83.54,77.64,158.42,51.15
15/02/1995,122.64,104.15,106.37,81.86,93.71,89.02,83.72,118.99,50.27,66.25,85.47,105.21,77.17,89.53,115.02,44.31,134.5,82.8,81.7,163.66,89.3,134.8,114.64,101.35,70.58,72.07,112.35,112.18,54.18,64.05,33.47,81.09,48.14,46.26,82.35,77.03,158.03,51.04
16/02/1995,121.17,103.82,105.28,81.99,92.76,88.27,82.29,117.86,50.12,64.94,85.24,104.04,77.01,89.25,114.3,43.53,131.5,82.3,81.09,162.08,89.08,133.02,113.08,98.91,69.05,71.57,111.26,111.09,53.33,63.64,32.89,81.18,47.36,45.5,81.8,76.24,156.11,50.83
17/02/1995,121.79,104.82,106.38,82.56,93.96,88.84,83.1,118.7,51.32,65.79,86.44,104.67,78.08,90.2,114.92,45.42,133.55,82.33,81.54,164.66,89.13,134.89,114.57,100.52,70.15,72.13,113.3,113.13,54.31,63.72,32.77,84.16,48.48,46.56,83.59,76.24,157.34,52.02
20/02/1995,121.27,104.5,106.08,82.25,93.36,88.27,83.03,118.59,51.3,65.79,84.88,104.41,77.53,89.83,114.12,44.67,132.86,81.66,81.3,163.99,89.62,135.67,114.26,100.89,69.63,71.52,112.11,111.94,54.26,63.55,31.36,84.47,48.5,46.56,82.12,75.89,157.16,52.06
21/02/1995,122.01,104.83,106.38,82.29,93.92,88.22,83.69,119.05,51.82,66.34,85.04,105.07,77.69,90.14,114.21,44.9,133.28,82.29,82.06,164.57,90.33,136.29,114.94,101.95,69.85,72,112.81,112.64,55.2,64.35,32.65,85.2,49.09,47.15,82.35,75.63,158.28,52.56
22/02/1995,121.93,104.77,106.24,80.93,93.86,88.31,83.85,118.66,51.52,66.6,85.11,105.23,77.65,90.06,114.34,45.58,133.7,82.56,81.51,164.4,89.82,135.58,115.11,102.49,68.83,71.49,112.76,112.59,54.56,63.86,31.83,83.43,49.52,47.54,82.74,74.93,158.28,52.28
23/02/1995,120.68,103.73,105.24,80.88,93.24,87.87,83,116.88,50.61,65.69,84.27,103.95,76.31,88.97,111.78,44.75,132.23,82.4,80.65,162.08,88.25,133.58,113.65,101.47,67.65,70.96,111.56,111.4,53.94,63.29,31.6,83.19,49.07,47.1,81.74,71.43,155.13,51.33
24/02/1995,119.03,103.12,104.02,79.62,92.35,86.61,81.78,115.64,50.67,64.91,82.57,102.54,75.65,88.26,110.99,44.33,131.33,80.83,79.62,159.71,87.32,132.07,112.06,99.85,66.73,69.56,109.99,109.82,54.14,62.49,31.13,82.5,48.54,46.6,80.33,70.9,153.59,51.35
