,S&P 500 COMPOSITE - PRICE INDEX,MSCI EAFE U$ - PRICE INDEX,GPR 250 REIT US (U$) - PRICE INDEX,S&P GSCI Commodity Total Return - RETURN IND. (OFCL)
29/12/1989,353.4,1047.862,10,1891.6
1/01/1990,353.4,1047.862,10,1891.6
2/01/1990,359.69,1043.26,10,1937.4
3/01/1990,358.76,1044.797,10,1970.2
4/01/1990,355.67,1054.333,10,1938.6
5/01/1990,352.2,1046.181,10,1897.9
8/01/1990,353.79,1047.856,10,1844.7
9/01/1990,349.62,1040.819,10,1864.9
10/01/1990,347.31,1035.084,10,1902.9
11/01/1990,348.53,1037.13,10,1922.6
12/01/1990,339.93,1028.906,10,1914.2
15/01/1990,337,1023.796,10,1888.5
16/01/1990,340.75,1001.73,10,1886.6
17/01/1990,337.4,1003.173,10,1866.3
18/01/1990,338.19,991.366,10,1876.2
19/01/1990,339.15,990.08,10,1892.3
22/01/1990,330.38,993.392,10,1876.7
23/01/1990,331.61,993.14,10,1864.4
24/01/1990,330.26,988.431,10,1860.7
25/01/1990,326.08,994.56,10,1879.8
26/01/1990,325.8,999.615,10,1886.6
29/01/1990,325.2,1014.046,10,1899.1
30/01/1990,322.98,1012.775,10,1884.7
31/01/1990,329.08,1007.801,9.38,1883.3
1/02/1990,328.79,1012.801,9.38,1880.8
2/02/1990,330.92,1015.478,9.38,1904.2
5/02/1990,331.85,1018.044,9.38,1880.5
6/02/1990,329.66,1022.387,9.38,1879.9
7/02/1990,333.75,1011.658,9.38,1877.3
8/02/1990,332.96,1011.701,9.38,1871.1
9/02/1990,333.62,1003.929,9.38,1860.5
12/02/1990,330.08,1003.139,9.38,1879.7
13/02/1990,331.02,997.505,9.38,1881.2
14/02/1990,332.01,1000.333,9.38,1890.1
15/02/1990,334.89,1005.413,9.38,1908.5
16/02/1990,332.72,1009.078,9.38,1896.4
19/02/1990,332.72,1002.541,9.38,1896.4
20/02/1990,327.99,988.83,9.38,1893.3
21/02/1990,327.67,967.915,9.38,1882.6
22/02/1990,325.7,966.548,9.38,1892.7
23/02/1990,324.15,943.298,9.38,1888.1
26/02/1990,328.67,911.557,9.38,1901.4
27/02/1990,330.26,924.21,9.38,1883.9
