Date,FTSE UK MINING - PRICE INDEX,FTSE UK OIL & GAS - PRICE INDEX,FTSE UK OIL & GAS PROD - PRICE INDEX,FTSE UK AERO/DEFENSE - PRICE INDEX,FTSE UK AUTO & PARTS - PRICE INDEX,FTSE UK BANKS - PRICE INDEX,FTSE UK BASIC MATS - PRICE INDEX,FTSE UK BEVERAGES - PRICE INDEX,FTSE UK CHEMICALS - PRICE INDEX,FTSE UK CONSUMER GDS - PRICE INDEX,FTSE UK CONSUMER SVS - PRICE INDEX,FTSE UK ELECTRICITY - PRICE INDEX,FTSE UK EQT IVST INS - PRICE INDEX,FTSE UK FD & DRUG RTL - PRICE INDEX,FTSE UK FD PRODUCERS - PRICE INDEX,FTSE UK FIN SVS L - PRICE INDEX,FTSE UK FINANCIALS - PRICE INDEX,FTSE UK FXD LINE T/CM - PRICE INDEX,FTSE UK GEN RETAILERS - PRICE INDEX,FTSE UK H/C EQ & SVS - PRICE INDEX,FTSE UK HEALTH CARE - PRICE INDEX,FTSE UK INDUSTRIALS - PRICE INDEX,FTSE UK LIFE INSURANCE - PRICE INDEX,FTSE UK MEDIA - PRICE INDEX,FTSE UK NONLIFE INSUR - PRICE INDEX,FTSE UK PERSONAL GOODS - PRICE INDEX,FTSE UK PHARM & BIO - PRICE INDEX,FTSE UK SUPPORT SVS - PRICE INDEX,FTSE UK TECHNOLOGY - PRICE INDEX,FTSE UK TELECOM - PRICE INDEX,FTSE UK TOBACCO - PRICE INDEX,FTSE UK TRAVEL & LEIS - PRICE INDEX,FTSE UK UTILITIES - PRICE INDEX,FTSE W UK CON & MAT L - PRICE INDEX,FTSE W UK ELTRO/ELEC EQ L - PRICE INDEX,FTSE W UK INDS ENG L - PRICE INDEX,FTSE W UK INDS TRANSPT L - PRICE INDEX,FTSE W UK INDUSTRIAL MET L - PRICE INDEX,FTSE W UK IT TCH H/W & EQ - PRICE INDEX
20/01/1997,279.41,312.54,306.28,155.55,276.66,451.35,162.81,279.68,197.26,310.24,298.77,329.41,338.67,191.04,195.65,278.09,302.02,219.26,204.16,772.61,210.87,226.27,282.96,279.52,201.25,666.52,381.57,291.83,29.15,172.11,211.83,262.52,307.68,114.05,15.91,193.71,200.8,177.75,29.15
21/01/1997,280.9,314.75,308.45,155.57,277.5,450.6,163.77,280.9,198.38,310.43,299.72,327.92,338.28,189.16,194.48,276.74,301.02,219.93,203.12,776.9,210.24,226.93,276.59,283.21,201.65,663.2,379.07,293.16,29.73,171.93,211.73,262.45,306.71,115.45,15.92,193.4,201.37,177.36,29.73
22/01/1997,280.9,316.13,309.81,156.43,274.66,453.28,164,283.12,198.64,306.64,300.39,336.46,338.76,189.79,193.64,279.2,301.71,222.41,202.55,777.98,211.87,228.53,271.99,285.17,199.71,663.2,383.44,295.74,29.63,173.43,215.1,261.39,313.21,115.8,16.12,193.03,202.1,177.47,29.63
23/01/1997,284.63,321.11,314.7,158.36,272.92,459.59,166.05,286.74,200.93,305.38,301.63,342.01,341.97,189.08,194.46,282.17,305.22,225.16,202.07,780.12,216.38,230.5,275.02,287.43,200.93,664.15,397.98,299.65,30.14,174.69,216.76,263.14,315.34,116.5,16.15,194.28,202.37,182.16,30.14
24/01/1997,294.31,315.69,309.28,157.57,274.7,452.94,164.65,285.3,199.44,306.3,299.09,339.24,338.72,178.3,192.43,282.08,302.02,222.82,200.59,779.05,214.03,229.31,274.04,283.41,200.1,663.67,392.08,297.46,32.19,170.33,214.12,262.48,312.15,116.11,15.89,194.92,201.71,179.96,32.19
27/01/1997,297.29,315.55,309.12,157.59,270.83,452.8,164.86,284.66,200.67,302.44,298.9,334.3,338.1,174.57,192.59,281.66,301.3,222.38,199.72,779.05,214.41,228.8,275.02,282.64,197.44,667.94,395.83,301.15,31.29,169.02,209.5,265.15,310.31,115.75,15.78,194.73,201.46,179.98,31.29
28/01/1997,295.8,319.09,312.62,157.22,277.46,455.95,165.4,285.46,199.84,309.39,301.35,333.02,339.92,176.83,194,283.49,302.33,223.19,202.56,775.83,215.3,228.47,275.25,284.58,196.33,673.15,395.63,306.08,31.96,170.1,214.5,267.6,308.64,116.72,15.72,195.55,201.16,180.74,31.96
29/01/1997,292.08,316.5,310.1,157.38,271.88,452.56,164.69,283.14,200.8,304.61,300.11,330.95,338.21,176.62,193.05,282.56,300.02,220.58,201.37,770.46,213.92,226.9,273.5,284.82,193.65,667.46,393.83,302.46,31.76,168.65,211.76,268.06,305.42,116.11,15.62,195.09,200.9,178.6,31.76
30/01/1997,293.57,318.24,311.8,157.58,272.17,455.5,163.71,282.91,200.48,304.43,301.09,336.52,338.78,176.9,193.53,282.82,301.92,220.08,204.11,774.76,215.66,226.47,273.85,284.68,196.23,671.25,401.18,303.32,32.02,168.47,210.72,269.21,308.93,115.34,15.51,195.35,201.19,177.25,32.02
31/01/1997,298.04,323.85,317.31,157.39,272.71,464.26,163.92,284.09,201.2,305.54,303.51,334.86,342.09,174.59,193.17,287.76,306.71,220.59,205.54,771.54,218.39,228.34,276.71,286.93,198.44,672.2,411.5,304.67,32.31,168.07,211.42,272.8,311.97,115.58,15.51,198.2,203.17,176.8,32.31
