Name,S&P 500 COMPOSITE - PRICE INDEX,DOW JONES INDUSTRIALS - PRICE INDEX,NASDAQ COMPOSITE - PRICE INDEX,NYSE COMPOSITE - PRICE INDEX,MSCI USA - PRICE INDEX
1/01/1973,118.05,1020.02,133.73,681.79,125.796
2/01/1973,119.1,1031.68,134.63,687.93,125.479
3/01/1973,119.51,1043.8,135.38,690.36,126.065
4/01/1973,120.17,1039.81,135.44,689.09,125.727
5/01/1973,120.71,1047.49,135.91,691.2,126.338
8/01/1973,119.85,1047.86,136.02,690.99,126.269
9/01/1973,119.73,1047.11,135.99,690.36,126.205
10/01/1973,119.43,1046.06,136.06,688.35,125.895
11/01/1973,120.24,1051.7,136.84,692.37,126.793
12/01/1973,119.3,1039.36,136.01,686.76,125.87
15/01/1973,118.44,1025.59,134.6,681.16,125.007
16/01/1973,118.14,1024.31,134.03,678.94,124.682
17/01/1973,118.68,1029.12,134.07,681.9,125.255
18/01/1973,118.85,1029.12,134.34,683.06,125.52
19/01/1973,118.78,1026.19,133.87,682.11,125.555
22/01/1973,118.21,1018.81,133.15,678.62,124.864
23/01/1973,118.22,1018.66,132.44,677.88,124.971
24/01/1973,116.73,1004.59,130.49,668.79,123.316
25/01/1973,116.73,1004.59,130.49,668.79,123.316
26/01/1973,116.45,1003.54,129.76,666.67,123.08
29/01/1973,116.01,996.46,128.46,663.71,122.554
30/01/1973,115.83,992.93,128.22,662.66,122.405
31/01/1973,116.03,999.02,128.4,663.5,122.627
1/02/1973,114.76,985.78,126.94,655.99,121.267
2/02/1973,114.35,980.81,126.48,653.35,120.816
5/02/1973,114.23,978.4,126,652.19,120.584
6/02/1973,114.45,979.91,126.27,653.46,120.899
7/02/1973,113.66,968.32,124.99,648.91,119.814
8/02/1973,113.16,967.19,123.97,646.05,119.304
9/02/1973,114.68,979.46,125.86,654.51,121.032
12/02/1973,116.06,991.57,126.88,661.7,121.139
13/02/1973,116.78,996.76,127.19,665.3,121.836
14/02/1973,115.1,979.91,125.42,656.1,120.026
15/02/1973,114.45,973.13,124.43,651.98,119.273
16/02/1973,114.98,979.23,124.55,654.83,119.799
19/02/1973,114.98,979.23,124.55,654.83,119.799
20/02/1973,115.4,983.59,125.01,656.63,120.307
21/02/1973,114.69,974.34,123.95,652.29,119.601
22/02/1973,114.44,971.78,123.68,650.39,119.482
23/02/1973,113.16,959.89,122.34,643.09,118.005
26/02/1973,112.19,953.79,121.27,637.49,117.19
27/02/1973,110.9,947.92,119.8,630.3,115.863
28/02/1973,111.68,955.07,120.41,634.42,116.731
1/03/1973,111.05,949.65,119.53,630.3,116.014
2/03/1973,112.28,961.32,120.11,636.22,117.359
5/03/1973,112.68,966.89,120.55,638.34,117.861
6/03/1973,114.1,979,121.91,646.58,118.049
7/03/1973,114.45,979.98,122.28,649.12,118.56
8/03/1973,114.23,976.44,122.11,647.75,118.263
9/03/1973,113.79,972.23,121.99,645.21,117.82
12/03/1973,113.86,969.75,121.86,645.21,117.909
13/03/1973,114.48,976.07,122.09,648.28,118.557
14/03/1973,114.98,978.85,122.1,650.5,119.002
15/03/1973,114.12,969.82,121.6,645.63,118.107
16/03/1973,113.54,963.05,121.22,642.35,117.543
19/03/1973,112.17,952.06,119.94,634.32,116.08
20/03/1973,111.95,949.43,119.26,632.63,115.928
21/03/1973,110.49,938.37,117.89,624.59,114.414
22/03/1973,108.84,925.2,115.69,614.55,112.434
23/03/1973,108.88,922.71,115.47,614.86,112.545
26/03/1973,109.85,927.9,115.54,620.15,113.525
27/03/1973,111.56,944.91,116.89,629.45,115.289
28/03/1973,111.62,948,117.14,629.67,115.385
29/03/1973,112.71,959.14,118.19,636.01,116.553
30/03/1973,111.52,951.01,117.46,629.98,115.18
2/04/1973,110.18,936.18,115.79,622.69,113.775
3/04/1973,109.24,927.75,114.47,616.77,112.628
4/04/1973,108.77,925.05,112.89,613.7,111.997
5/04/1973,108.52,923.46,112.02,611.37,111.773
6/04/1973,109.28,931.07,113.27,615.71,112.793
9/04/1973,110.86,947.55,114.01,624.06,114.536
10/04/1973,112.21,960.49,114.81,631.57,116.153
11/04/1973,112.68,967.41,115.29,634.11,116.678
12/04/1973,112.58,964.03,115.59,633.37,116.607
13/04/1973,112.08,959.36,115.22,630.72,116.038
16/04/1973,111.44,956.73,114.55,627.23,115.323
17/04/1973,110.94,953.42,113.64,623.85,114.798
18/04/1973,111.54,958.31,113.71,626.49,115.502
19/04/1973,112.17,963.2,114.15,630.09,116.093
20/04/1973,112.17,963.2,114.15,630.09,116.093
23/04/1973,111.57,955.37,113.02,626.92,115.502
24/04/1973,109.99,940.77,111.23,617.72,113.767
25/04/1973,108.34,930.54,109.37,608.31,112.052
26/04/1973,108.89,937.76,109.72,610.53,112.523
27/04/1973,107.23,922.19,108.4,601.22,110.7
30/04/1973,106.97,921.43,107.85,599.85,110.582
1/05/1973,107.1,921.21,107.96,600.16,110.822
2/05/1973,108.43,932.34,109.05,607.57,112.243
3/05/1973,110.22,945.67,109.81,616.98,114.043
4/05/1973,111,953.87,110.89,621.42,114.739
7/05/1973,110.53,950.71,110.48,618.67,114.156
8/05/1973,111.25,956.58,110.67,622.79,114.898
