Date,FTSE USA H/C EQ & SVS - PRICE INDEX,FTSE USA TRAVEL & LEIS - PRICE INDEX,FTSE USA TOBACCO - PRICE INDEX,FTSE USA TCH H/W & EQ - PRICE INDEX,FTSE USA SUPPORT SVS - PRICE INDEX,FTSE USA S/W & COMP SVS - PRICE INDEX,FTSE USA REIT - PRICE INDEX,FTSE USA PHARM & BIO - PRICE INDEX,FTSE USA PERSONAL GOODS - PRICE INDEX,FTSE USA OIL & GAS PROD - PRICE INDEX,FTSE USA OIL & GAS - PRICE INDEX,FTSE USA NONLIFE INSUR - PRICE INDEX,FTSE USA MINING - PRICE INDEX,FTSE USA LEISURE GDS - PRICE INDEX,FTSE USA LIFE INSURANCE - PRICE INDEX,FTSE USA INDUSTRIAL MET - PRICE INDEX,FTSE USA INDS TRANSPT - PRICE INDEX,FTSE USA FD & DRUG RTL - PRICE INDEX,FTSE USA FD PRODUCERS - PRICE INDEX,FTSE USA FIN SVS L - PRICE INDEX,FTSE USA FORESTRY & PAP - PRICE INDEX,FTSE USA FXD LINE T/CM - PRICE INDEX,FTSE USA GEN RETAILERS - PRICE INDEX,FTSE USA GENERAL INDS - PRICE INDEX,FTSE USA INDS ENG - PRICE INDEX,FTSE USA INDUSTRIALS - PRICE INDEX,FTSE USA MEDIA - PRICE INDEX,FTSE USA TECHNOLOGY - PRICE INDEX,FTSE USA TELECOM - PRICE INDEX,FTSE USA UTILITIES - PRICE INDEX,FTSE USA AERO/DEFENSE - PRICE INDEX,FTSE USA AUTO & PARTS - PRICE INDEX,FTSE USA BEVERAGES - PRICE INDEX,FTSE USA CON & MAT - PRICE INDEX,FTSE USA ELTRO/ELEC EQ - PRICE INDEX,FTSE USA BANKS - PRICE INDEX,FTSE USA BASIC MATS - PRICE INDEX,FTSE USA CHEMICALS - PRICE INDEX,FTSE USA CONSUMER GDS - PRICE INDEX,FTSE USA CONSUMER SVS - PRICE INDEX,FTSE USA ELECTRICITY - PRICE INDEX,FTSE USA FINANCIALS - PRICE INDEX,FTSE USA HEALTH CARE - PRICE INDEX
19/01/1996,458.94,320.83,582.4,180.33,1554.66,176.63,66.44,294.51,418.79,215.63,217,266.14,505.38,205.81,186.26,264.74,236.55,230.28,423.68,275.8,204.28,165.4,231.43,205.56,171.8,275.33,219.28,178.62,336,259.49,292.68,199.52,502.71,214.32,290.02,206.25,210.23,246.46,400.11,350.57,271.74,239.77,349.31
22/01/1996,458.13,320.6,584.94,184.67,1549.25,177.84,66.81,293.75,416.28,213.8,215.65,264.29,520.71,207.63,185.95,269.93,236.05,228.51,425.22,276.77,209.6,163.01,234.43,205.94,177.24,276.57,218.95,181.97,331.38,258.26,292.25,208.73,500.06,215.16,290.48,207.52,214.03,250.71,414.19,351.28,270.26,240.32,348.76
23/01/1996,460.75,323.15,581.22,185.01,1542.67,175.67,66.17,295.96,413.97,211.34,213.32,262.57,520.49,207.67,185.39,275.48,238.61,228.52,424.48,276.25,205.64,162.8,236.95,205.75,177.03,275.02,217.69,181.53,331,258.67,289.39,209.24,504.88,217.4,287.98,207.37,213.17,249.19,414.93,352.9,270.74,239.75,349.87
24/01/1996,478.7,326.85,586.54,190.15,1547.46,178.86,65.62,300.63,419.66,212.27,214.02,263.08,513.31,209.21,187.38,275.94,239.84,230.39,434.37,275.59,205.63,165.48,235.87,207.09,176.88,276.98,219.38,186.04,336.16,260.57,289.74,211.44,511.82,218.74,291.71,208.81,215.43,253.19,418.93,354.19,272.94,240.71,356.65
25/01/1996,479.06,324.63,579.75,186,1550.83,175.44,65.43,298.16,414.29,213.32,215.26,262.14,523.32,211.09,187,273.98,237.4,229.4,428.17,276.17,210.43,164.13,234.25,207.63,175.21,277.99,218.96,182.14,333.56,259.23,289.23,210.34,506.51,219.15,294.93,209.09,215.8,252.47,418.44,352.58,271.57,240.78,353.6
26/01/1996,482.62,328.52,579.29,186.9,1553.72,176.54,65.53,303.68,420.09,215.22,217.1,264.11,524.48,211.98,186.99,272.5,238.42,229.74,431.5,280.7,209.75,165.12,235.06,209.13,176.87,280.09,221.29,183.09,335.42,259.7,291.11,212.17,510.43,220.38,297.19,209.34,216.81,254.69,421.53,355.46,271.77,242.15,357.47
29/01/1996,483.52,330.55,579.85,186.55,1542.86,178.08,65.27,304.94,416.55,215.96,217.82,266.6,525.37,213.42,187.64,276.18,238.67,229.66,431.9,283.24,214.35,166.3,234.74,210.03,178.7,280.74,221.02,183.33,337.54,260.34,293.08,214.08,512.37,221.92,296.1,211.91,218.74,255.82,425.08,355.51,272.25,244.64,357.99
30/01/1996,490.43,337.06,589.47,189.26,1541.52,179.39,65.11,312.82,414.67,214.94,216.92,267.9,528.12,215.09,189.14,287.11,238.95,230.38,439.24,289.81,223.74,166.8,235.65,212.52,182.15,283.71,222.71,185.6,338.57,260.39,294.9,217.73,515.6,220.86,298.81,213.87,223.88,260.47,431.19,357.7,272.29,247.4,363.42
31/01/1996,491.5,340.9,578.73,190.54,1549.46,182.09,64.33,315.63,414.11,217.23,219.17,273.8,531.31,214.77,194.47,286.24,243.74,231.99,440.55,296.52,225.61,168.87,241.32,214.14,182.55,286.25,225.31,187.32,342.59,261.72,295.04,216.95,515.56,223.39,303.59,217.21,224.93,261.55,429.91,363.09,273.36,252.12,364.1
1/02/1996,487.47,337.33,580.88,194.59,1550.41,184.57,64.75,316.3,413.38,220.46,222.74,271.63,551.73,214.48,193.39,286.63,242.9,237.31,440.64,293.61,223.95,168.98,248.42,214.59,181.84,286.4,225.55,190.86,343.6,260.77,295.33,220.95,516.35,222.89,303.72,215.89,226.12,264.4,435.4,365.33,271.85,250.33,363.97
